"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2015 VB167)",43.98,0.0754,2.94,101.44,326.18,40.665,47.30,292,1125,4,38,,,8.90
"       (2015 VC167)",44.05,0.1462,3.70,163.58,277.89,37.614,50.50,292,747,5,29,,,8.40
"       (2015 VD167)",56.15,0.4209,16.23,52.95,308.45,32.513,79.78,421,746,4,25,,,9.10
"       (2015 VE167)",55.9,0.3930,29.66,56.44,3.51,33.934,77.87,418,828,4,30,,,9.30
"       (2015 VF167)",56.01,0.2791,36.58,50.90,17.79,40.378,71.65,419,801,5,41,,,8.50
"       (2015 VG167)",42.6,0.2546,4.74,67.76,67.64,31.756,53.45,278,828,4,33,,,8.00
"       (2015 VH167)",42.64,0.1451,0.67,66.45,296.99,36.450,48.82,278,828,5,36,,,7.90
"       (2015 VJ167)",42.48,0.2066,3.51,97.13,38.79,33.704,51.25,277,1125,4,41,,,8.20
"       (2015 VK167)",42.66,0.2693,11.96,220.68,120.59,31.172,54.15,279,1125,3,39,,,9.40
"       (2015 VL167)",36.75,0.1523,10.59,49.77,14.31,31.151,42.34,223,534,5,20,,,9.60
"       (2015 VM167)",36.69,0.2129,4.34,198.65,173.90,28.878,44.50,222,831,4,25,,,9.80
"       (2015 VN167)",36.74,0.0784,4.33,182.46,247.24,33.856,39.62,223,858,5,37,,,8.30
"       (2015 VO167)",59.64,0.4127,17.58,51.49,300.87,35.025,84.26,461,1122,4,45,,,8.20
"       (2015 VP167)",40.96,0.1229,21.66,55.46,315.08,35.926,45.99,262,857,4,38,,,8.50
"       (2015 VQ167)",86.48,0.5590,28.62,228.55,250.06,38.135,134.82,804,831,4,26,,,8.40
"       (2015 VR167)",70.13,0.5485,14.36,56.85,75.07,31.664,108.60,587,858,5,33,,,8.30
"       (2015 VS167)",81.98,0.5229,7.10,204.66,197.12,39.107,124.84,742,1125,4,33,,,9.00
"       (2015 VT167)",50.86,0.1981,6.20,81.77,311.17,40.784,60.94,363,832,5,34,,,8.80
"       (2015 VU167)",46.69,0.1817,4.95,225.23,175.48,38.207,55.17,319,1119,5,32,,,7.00
"       (2015 VV167)",44.5,0.1505,11.90,63.02,13.29,37.807,51.20,297,858,5,27,,,8.70
"       (2015 VW167)",38.34,0.0147,1.28,134.97,262.21,37.778,38.91,237,1125,4,43,,,8.30
"       (2015 VX167)",38.95,0.0503,20.05,233.15,171.90,36.993,40.91,243,846,5,28,,,8.00
