"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2011 JR13)",1.299,0.7258,24.70,235.08,129.58,0.356,2.24,1.48,3268,0,226,7,0,19.72
"       (2011 KE)",2.207,0.9547,5.89,205.01,188.55,0.100,4.31,3.28,2521,0,203,,,19.81
"       (2011 KF4)",2.599,0.6149,10.01,40.89,281.60,1.001,4.20,4.19,1420,1,195,,,19.15
"       (2011 KG4)",1.008,0.0859,22.49,65.78,6.75,0.921,1.09,1.01,7,8,55,,,23.00
"       (2011 KL12)",1.569,0.3802,32.30,239.04,50.60,0.972,2.17,1.96,8,9,32,,,22.20
"       (2011 KG13)",2.299,0.6193,2.55,71.18,121.46,0.875,3.72,3.49,1,8,20,,,25.70
"       (2011 KE15)",1.701,0.4289,1.57,74.68,210.72,0.972,2.43,2.22,9,7,31,,,26.90
"       (2011 KJ15)",1.906,0.7320,11.35,86.81,268.69,0.511,3.30,2.63,12,8,56,,,23.10
"       (2011 KK15)",2.438,0.6102,1.25,230.64,343.09,0.950,3.93,3.81,37,7,68,,,22.30
"       (2011 KU15)",1.955,0.8761,4.40,214.49,166.85,0.242,3.67,2.73,9,9,18,,,21.80
"       (2011 KV15)",2.553,0.6124,4.09,66.09,215.35,0.990,4.12,4.08,5,9,17,,,26.20
"       (2011 KN17)",2.25,0.6764,5.82,247.43,280.96,0.728,3.77,3.37,23,7,97,,,22.60
"       (2011 KP17)",1.95,0.5520,6.60,169.02,179.87,0.874,3.03,2.72,4220,0,215,,,19.18
"       (2011 KG20)",2.306,0.7504,22.89,242.14,102.73,0.575,4.04,3.5,3,9,32,,,24.02
"       (2011 KJ20)",2.241,0.8156,14.18,65.99,346.67,0.413,4.07,3.35,6,9,15,,,18.40
"       (2011 KF36)",2.122,0.6496,25.69,213.78,80.12,0.743,3.50,3.09,2,9,9,,,20.45
"       (2011 LD1)",1.697,0.7791,39.38,83.11,31.71,0.375,3.02,2.21,4021,0,134,,,19.23
"       (2011 LJ1)",2.414,0.6925,7.39,140.16,216.84,0.742,4.09,3.75,4223,0,135,,,19.30
"       (2011 LZ2)",1.383,0.3064,4.86,253.97,318.27,0.959,1.81,1.63,7,8,50,,,25.30
"       (2011 LS17)",2.447,0.6372,3.57,46.47,287.03,0.888,4.01,3.83,20,9,14,,,22.60
"       (2011 LA19)",2.912,0.6517,19.21,97.96,202.77,1.014,4.81,4.97,3750,0,313,,,19.17
"       (2011 LC19)",3.197,0.7323,10.50,219.41,139.19,0.856,5.54,5.72,2143,0,349,3,4,18.90
"       (2011 LJ19)",2.622,0.6208,1.54,296.44,30.47,0.994,4.25,4.25,167,5,418,,,21.30
"       (2011 MC)",2.544,0.6167,24.73,91.89,225.33,0.975,4.11,4.06,31,6,87,,,21.50
"       (2011 ME)",1.354,0.7272,24.85,234.36,166.87,0.369,2.34,1.58,4487,0,150,,,19.66
"       (2011 MJ)",1.221,0.2084,10.39,93.87,99.90,0.967,1.48,1.35,8,8,52,,,22.80
"       (2011 MU)",1.35,0.6652,7.30,99.99,281.90,0.452,2.25,1.57,4020,0,207,,,20.33
"       (2011 MX)",1.431,0.3977,13.46,268.19,297.28,0.862,2.00,1.71,4,8,23,,,26.90
"       (2011 MW1)",1.056,0.2752,3.26,277.10,124.54,0.765,1.35,1.08,955,1,90,,,22.36
"       (2011 MQ3)",1.122,0.1100,5.68,274.00,301.14,0.999,1.25,1.19,23,6,72,,,24.80
"       (2011 NY)",2.28,0.5548,7.99,247.18,87.72,1.015,3.55,3.44,2689,0,149,,,20.50
"       (2011 OW4)",1.944,0.7178,11.55,254.02,163.65,0.549,3.34,2.71,23,7,53,,,20.60
"       (2011 OR5)",1.396,0.2798,4.77,307.94,314.35,1.005,1.79,1.65,37,7,19,,,25.90
"       (2011 OR15)",1.656,0.4431,5.01,146.09,251.09,0.922,2.39,2.13,942,1,77,,,21.00
"       (2011 OX17)",2.205,0.7510,6.86,347.35,213.08,0.549,3.86,3.27,3452,1,43,,,20.40
"       (2011 OD18)",2.06,0.5275,4.31,304.41,332.27,0.973,3.15,2.96,8,8,30,,,26.50
"       (2011 OV18)",1.631,0.4391,16.93,271.30,148.97,0.915,2.35,2.08,3468,1,56,,,19.70
"       (2011 OB26)",1.658,0.4780,1.76,138.74,234.80,0.865,2.45,2.14,13,8,32,,,25.50
"       (2011 OE26)",3.001,0.7190,10.29,311.25,275.88,0.843,5.16,5.2,24,7,14,,,23.00
"       (2011 OF26)",2.118,0.7255,6.05,303.65,103.08,0.581,3.65,3.08,10,9,17,,,24.80
"       (2011 OJ45)",1.017,0.2036,0.75,288.89,135.54,0.810,1.22,1.03,17,6,21,,,26.00
"       (2011 OK45)",1.291,0.2143,2.87,300.07,327.57,1.014,1.57,1.47,6,8,10,,,27.60
"       (2011 PS)",1.806,0.5152,3.73,19.08,26.85,0.876,2.74,2.43,2067,1,143,,,20.40
"       (2011 PU1)",1.304,0.2458,4.36,301.80,326.77,0.984,1.62,1.49,2090,0,110,,,25.60
"       (2011 PE2)",2.17,0.5442,8.06,310.23,337.47,0.989,3.35,3.2,54,5,93,,,23.10
"       (2011 PW6)",1.671,0.5342,25.32,288.41,169.79,0.778,2.56,2.16,4322,1,64,,,18.60
"       (2011 QS2)",1.679,0.5011,17.60,323.88,78.83,0.837,2.52,2.17,916,1,116,,,20.70
"       (2011 QA14)",2.185,0.5353,8.45,182.56,114.34,1.015,3.35,3.23,34,7,31,,,23.30
"       (2011 QG21)",1.216,0.4387,18.78,324.97,255.08,0.683,1.75,1.34,1482,1,51,,,21.70
"       (2011 QJ21)",1.06,0.3825,19.42,150.15,66.90,0.654,1.47,1.09,9,7,47,,,24.50
"       (2011 QE23)",1.441,0.3009,2.10,353.20,314.63,1.007,1.87,1.73,9,7,44,,,25.80
"       (2011 QF48)",2.128,0.6364,21.50,154.08,113.09,0.774,3.48,3.1,22,7,47,,,25.40
"       (2011 QS49)",1.506,0.3375,2.22,349.07,33.19,0.997,2.01,1.85,13,7,65,,,24.20
"       (2011 QD50)",1.241,0.5585,7.86,144.87,82.29,0.548,1.93,1.38,4,8,48,,,23.90
"       (2011 RV14)",1.332,0.3740,5.00,195.23,73.11,0.834,1.83,1.54,22,7,30,,,24.20
"       (2011 SO5)",1.776,0.5207,2.63,178.12,245.49,0.851,2.70,2.37,13,7,37,,,25.50
"       (2011 SQ5)",1.528,0.3470,5.99,174.66,220.82,0.998,2.06,1.89,3,8,16,,,26.50
"       (2011 SR12)",2.02,0.8038,12.06,203.45,23.36,0.396,3.64,2.87,1949,1,51,,,19.59
"       (2011 ST12)",1.118,0.2164,6.15,353.80,89.30,0.876,1.36,1.18,8,7,14,,,26.40
"       (2011 SJ16)",2.798,0.7991,17.66,186.27,293.71,0.562,5.03,4.68,3545,0,175,,,19.15
"       (2011 SB25)",1.508,0.3608,18.50,341.50,125.15,0.964,2.05,1.85,719,2,32,,,20.88
"       (2011 SC25)",1.09,0.3195,11.10,178.56,288.84,0.742,1.44,1.14,4,9,7,,,25.20
"       (2011 SE25)",1.181,0.5258,16.09,3.45,243.20,0.560,1.80,1.28,14,8,22,,,23.70
"       (2011 SN25)",1.691,0.4507,6.17,350.07,60.03,0.929,2.45,2.2,6,9,13,,,26.40
"       (2011 SS25)",1.884,0.7295,34.45,18.38,110.16,0.509,3.26,2.59,3900,0,231,,,18.21
"       (2011 SO26)",2.558,0.6156,26.63,165.75,273.31,0.983,4.13,4.09,1598,0,50,,,20.70
"       (2011 SP26)",2.442,0.5865,7.02,328.66,343.46,1.010,3.87,3.82,10,8,22,,,23.80
"       (2011 SS26)",1.712,0.4579,2.65,353.76,309.67,0.928,2.50,2.24,9,8,22,,,24.50
"       (2011 SO32)",1.725,0.4768,9.91,198.74,243.59,0.902,2.55,2.26,3487,0,281,,,21.19
"       (2011 SP32)",2.176,0.5911,2.95,10.34,288.49,0.890,3.46,3.21,13,8,47,,,23.60
"       (2011 SE58)",1.894,0.6116,1.21,5.36,70.80,0.736,3.05,2.61,6,7,55,,,27.80
"       (2011 SK68)",1.362,0.2978,7.80,180.92,135.16,0.957,1.77,1.59,2,7,31,,,27.63
"       (2011 SM68)",1.396,0.6640,19.24,24.03,109.21,0.469,2.32,1.65,4086,0,216,,,19.63
"       (2011 SP70)",1.974,0.5258,5.82,145.66,293.58,0.936,3.01,2.77,8,9,13,,,23.10
"       (2011 SE97)",2.523,0.6669,2.38,188.76,243.12,0.840,4.20,4.01,2929,0,90,4,1,24.70
"       (2011 SC108)",2.505,0.7435,6.88,3.34,82.00,0.643,4.37,3.97,,8,34,,,27.90
"       (2011 SY120)",1.217,0.2296,31.93,2.56,115.08,0.937,1.50,1.34,1450,0,73,,,23.20
"       (2011 SL173)",1.163,0.1451,25.50,186.85,238.03,0.994,1.33,1.25,2,9,19,,,25.50
"       (2011 SM173)",2.492,0.6523,0.53,175.86,237.42,0.866,4.12,3.93,1,7,32,,,27.80
"       (2011 SG189)",2.24,0.6030,37.07,20.59,276.52,0.889,3.59,3.35,3865,0,122,,,20.66
"       (2011 SL189)",2.509,0.5962,1.39,347.43,65.25,1.013,4.00,3.97,2,9,13,,,24.73
"       (2011 SM189)",2.459,0.5934,7.86,190.83,132.23,1.000,3.92,3.86,1,9,12,,,24.70
"       (2011 SO189)",1.998,0.5670,4.45,2.38,306.86,0.865,3.13,2.82,7,8,31,,,26.50
"       (2011 SE191)",2.583,0.6536,10.30,5.40,309.83,0.895,4.27,4.15,3,8,37,,,25.00
"       (2011 TB)",2.377,0.6042,10.57,191.04,126.58,0.941,3.81,3.66,5,9,31,,,24.00
"       (2011 TH)",1.719,0.4474,5.08,200.28,102.03,0.950,2.49,2.25,2,9,33,,,23.50
"       (2011 TJ)",1.938,0.6376,4.97,59.89,218.77,0.702,3.17,2.7,3820,0,90,,,21.16
"       (2011 TK)",2.463,0.6461,7.78,328.37,122.14,0.872,4.05,3.87,1662,1,85,,,21.50
"       (2011 TP)",1.724,0.4535,9.56,7.61,43.22,0.942,2.51,2.26,3,8,25,,,26.50
"       (2011 TB4)",1.307,0.4556,6.73,11.48,90.98,0.711,1.90,1.49,1103,0,73,,,25.40
"       (2011 TC4)",1.491,0.7197,3.13,200.68,309.41,0.418,2.56,1.82,4043,0,236,,,20.32
"       (2011 TJ5)",1.46,0.4027,10.39,9.73,70.18,0.872,2.05,1.76,2,9,19,,,26.10
"       (2011 TQ8)",2.145,0.5903,6.16,13.07,305.97,0.879,3.41,3.14,24,7,30,,,24.50
"       (2011 UB)",1.929,0.4777,1.88,23.10,8.62,1.008,2.85,2.68,5,5,31,0,1,27.50
"       (2011 UD)",2.033,0.7806,8.82,357.37,146.74,0.446,3.62,2.9,16,8,119,,,20.70
"       (2011 UE)",1.788,0.4391,7.85,22.76,340.73,1.003,2.57,2.39,5,7,39,,,25.02
"       (2011 UT)",2.071,0.5441,2.35,18.76,327.68,0.944,3.20,2.98,38,6,75,,,25.79
"       (2011 UF10)",1.29,0.2953,9.98,19.37,79.49,0.909,1.67,1.46,177,4,29,,,23.51
"       (2011 UH10)",1.464,0.3158,3.35,23.36,27.79,1.001,1.93,1.77,3,8,14,,,27.10
"       (2011 UK10)",1.229,0.2592,6.08,196.80,125.31,0.911,1.55,1.36,16,7,56,,,25.10
"       (2011 UL10)",1.931,0.6089,0.84,59.99,35.88,0.755,3.11,2.68,4,7,31,,,25.10
"       (2011 UG20)",1.124,0.6866,18.99,205.71,305.07,0.352,1.90,1.19,2189,0,106,,,21.40
"       (2011 UH20)",1.231,0.3360,35.78,21.61,257.15,0.817,1.64,1.37,4007,0,95,,,21.10
"       (2011 UT20)",1.191,0.4407,6.56,271.34,246.46,0.666,1.72,1.3,3551,0,125,,,20.42
"       (2011 UE21)",2.23,0.7325,44.74,9.73,255.90,0.597,3.86,3.33,9,9,32,,,20.40
"       (2011 UF21)",1.519,0.4074,21.39,191.30,65.74,0.900,2.14,1.87,4467,2,59,,,19.66
"       (2011 UK21)",1.723,0.4312,7.70,32.97,23.50,0.980,2.47,2.26,5,6,34,0,1,25.20
"       (2011 UP63)",1.077,0.1212,11.33,29.53,93.97,0.946,1.21,1.12,27,7,96,,,23.80
"       (2011 UQ63)",1.762,0.5210,9.06,192.45,124.06,0.844,2.68,2.34,5,8,31,,,24.20
"       (2011 UR63)",2.234,0.5953,4.05,208.12,131.76,0.904,3.56,3.34,12,9,28,,,25.80
"       (2011 US63)",3.021,0.7799,20.54,250.33,242.93,0.665,5.38,5.25,246,3,215,,,17.99
"       (2011 UU63)",1.619,0.5371,10.87,207.72,261.24,0.749,2.49,2.06,7,8,60,,,24.30
"       (2011 UY63)",1.252,0.4106,21.71,20.54,125.33,0.738,1.77,1.4,27,8,25,,,22.21
"       (2011 UA64)",2.269,0.6217,6.36,29.09,303.69,0.858,3.68,3.42,3,8,26,,,27.10
"       (2011 UC64)",1.071,0.4626,3.93,211.47,288.13,0.576,1.57,1.11,2,7,49,,,27.90
"       (2011 UD64)",1.278,0.3129,10.57,212.57,249.78,0.878,1.68,1.44,8,7,42,,,25.30
"       (2011 UN91)",2.332,0.6494,6.09,20.15,72.09,0.818,3.85,3.56,4,8,22,,,25.60
"       (2011 UO91)",1.199,0.3948,5.66,28.88,261.20,0.725,1.67,1.31,7,8,31,,,25.36
"       (2011 UR91)",1.715,0.5071,27.76,31.01,282.72,0.846,2.59,2.25,3284,0,45,,,24.30
"       (2011 US91)",1.036,0.2395,29.37,22.01,245.96,0.788,1.28,1.05,11,8,48,,,22.30
"       (2011 UT91)",1.363,0.4096,13.56,231.60,246.95,0.805,1.92,1.59,20,7,52,,,23.03
"       (2011 UZ114)",1.906,0.4842,1.24,226.30,209.44,0.983,2.83,2.63,17,8,32,,,25.50
"       (2011 UA115)",2.57,0.6238,0.63,193.02,250.75,0.967,4.17,4.12,33,7,40,,,24.70
"       (2011 UD115)",1.704,0.4598,4.57,233.37,94.92,0.921,2.49,2.22,33,7,54,,,22.50
"       (2011 UB131)",2.921,0.8121,14.26,5.26,124.61,0.549,5.29,4.99,3667,0,84,,,21.42
"       (2011 UV158)",1.808,0.4965,5.62,6.11,118.87,0.910,2.71,2.43,185,4,50,,,22.13
"       (2011 UL169)",1.46,0.3775,6.81,212.30,132.94,0.909,2.01,1.77,4,7,30,,,28.27
"       (2011 UM169)",1.698,0.5251,6.26,210.86,114.72,0.806,2.59,2.21,8,8,40,,,25.00
"       (2011 UB190)",1.258,0.2640,14.56,218.32,107.16,0.926,1.59,1.41,9,8,15,,,24.20
"       (2011 UC190)",2.111,0.5536,8.11,33.94,327.17,0.942,3.28,3.07,3,7,34,,,26.10
"       (2011 UX192)",1.489,0.7955,55.66,224.72,8.58,0.304,2.67,1.82,4042,1,83,,,18.49
"       (2011 UY192)",1.204,0.4294,4.82,42.53,100.44,0.687,1.72,1.32,9,8,23,,,24.50
"       (2011 UW255)",1.384,0.4931,9.74,217.32,82.81,0.701,2.07,1.63,3,9,32,,,23.70
"       (2011 UX255)",1.932,0.7878,7.83,215.15,70.19,0.410,3.45,2.69,2,8,29,,,27.40
"       (2011 UY255)",1.349,0.3189,8.04,192.27,276.13,0.919,1.78,1.57,3990,0,76,,,22.96
"       (2011 UZ255)",2.037,0.5785,3.47,213.17,125.44,0.859,3.21,2.91,976,1,134,,,23.30
"       (2011 UD256)",1.458,0.5991,47.06,216.32,323.06,0.584,2.33,1.76,2543,1,51,,,19.90
