"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","a","n_del_obs_used","n_dop_obs_used","H"
"     C/2018 W2 (Africano)",1.0008,1.455,116.62,181.85,157.97,,2019-09-05.7,,HYP,566,,1995,,,,,,-1915,,,
"     C/2018 X2 (Fitzsimmons)",0.9863,2.126,23.07,340.83,162.05,307.77,2019-07-08.5,1.93e+03,COM,392,,390,,,,,,154.9,,,
"     C/2018 X3 (PANSTARRS)",0.7827,2.699,43.37,78.92,359.83,22.14,2018-12-30.7,43.8,HTC,92,5,50,,,,,,12.42,,,
"     C/2018 Y1 (Iwamoto)",0.9911,1.287,160.40,147.48,358.06,287.25,2019-02-07.0,1.73e+03,COM,348,,2769,,,,,,144.3,,,
"     P/2018 Y2 (Africano)",0.4793,3.893,11.68,297.26,162.50,11.06,2019-01-02.5,20.4,JFc,101,4,81,,,,,,7.478,,,
"     P/2019 A1 (PANSTARRS)",0.5689,2.212,13.74,312.30,150.85,8.05,2018-10-11.0,11.6,JFc,86,5,63,,,,,,5.131,,,
"     P/2019 A2 (ATLAS)",0.3820,3.543,14.86,139.46,324.23,7.92,2018-11-21.4,13.7,JFc,922,3,284,,,,,,5.733,,,
"     P/2019 A3 (PANSTARRS)",0.2652,2.313,15.37,31.32,325.48,3.98,2018-08-01.8,5.58,ETc,1332,2,66,,,,,,3.148,,,
"     P/2019 A4 (PANSTARRS)",0.0896,2.379,13.32,119.30,341.84,2.85,2018-12-05.2,4.23,ETc,116,4,85,,,,,,2.613,,,
"     C/2019 A5 (PANSTARRS)",0.7079,6.324,67.54,146.62,356.04,36.97,2019-06-09.4,101,HTC,530,3,70,,,,,,21.65,,,
"     P/2019 A6 (Lemmon-PANSTARRS)",0.6392,1.939,33.23,280.27,156.31,8.81,2018-08-29.3,12.5,JFc,111,5,55,,,,,,5.372,,,
"     P/2019 A8 (PANSTARRS)",0.4274,1.873,2.97,127.89,20.38,4.67,2018-08-30.7,5.91,ETc,55,8,37,,,,,,3.27,,,
"     C/2019 A9 (PANSTARRS)",0.9633,1.426,84.34,278.37,237.80,76.22,2019-07-26.5,242,COM,546,2,199,,,,,,38.82,,,
"     C/2019 B1 (Africano)",0.9897,1.597,123.36,290.43,174.88,309.26,2019-03-19.9,1.94e+03,COM,105,,161,,,,,,155.4,,,
"     P/2019 B2 (Groeller)",0.3729,2.417,16.83,176.46,358.71,5.29,2019-06-08.0,7.56,JFc,181,4,187,,,,,,3.853,,,
"     C/2019 B3 (PANSTARRS)",1.0022,6.823,66.54,358.43,263.92,,2021-01-20.1,,HYP,1695,,284,,,,,,-3150,,,
"     C/2019 C1 (ATLAS)",0.9921,6.581,36.02,212.40,319.19,1659.34,2020-05-05.7,2.4e+04,JFc,907,,739,,,,,,833,,,
"     C/2019 D1 (Flewelling)",0.9885,1.578,34.10,231.72,70.48,273.96,2019-05-11.8,1.62e+03,COM,281,,797,,,,,,137.8,,,
"     C/2019 E3 (ATLAS)",1.0018,10.314,84.30,347.25,280.65,,2023-11-13.9,,HYP,3161,,529,,,,,,-5713,,,
"     C/2019 F1 (ATLAS-Africano)",1.0035,3.596,54.18,38.73,251.11,,2021-06-22.7,,HYP,1683,,1929,,1.2e-08,-5.7e-09,8.4e-09,,-1034,,,
