"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","a","n_del_obs_used","n_dop_obs_used","H"
"     C/1859 G1 (Tempel)",1.0000,0.201,95.49,359.31,282.00,,1859-05-29.7,,PAR,32,,29,T,,,,,,,,
"     C/1860 D1-A (Liais)",1.0000,1.199,79.68,326.02,209.76,,1860-02-17.1,,PAR,16,,3,T,,,,,,,,
"     C/1860 D1-B (Liais)",1.0000,1.198,79.62,326.01,209.69,,1860-02-17.1,,PAR,12,,3,T,,,,,,,,
"     C/1860 H1 (Rumker)",1.0000,1.307,48.24,10.83,41.22,,1860-03-06.0,,PAR,56,,55,T,,,,,,,,
"     C/1860 M1 (Great comet)",1.0000,0.293,79.32,86.63,76.88,,1860-06-16.5,,PAR,118,,300,F,,,,,,,,
"     C/1860 U1 (Tempel)",1.0000,0.683,32.21,46.77,311.98,,1860-09-22.8,,PAR,2,,3,T,,,,,,,,
"     C/1861 G1 (Thatcher)",0.9835,0.921,99.77,31.82,302.84,110.69,1861-06-03.8,417,COM,149,,323,,,,,,55.8,,,
"     C/1861 J1 (Great comet)",0.9851,0.822,85.44,280.91,330.08,109.34,1861-06-12.0,409,COM,339,,1156,F,,,,,55.08,,,
"     C/1861 Y1 (Tuttle)",1.0000,0.839,138.00,147.04,331.60,,1861-12-07.6,,PAR,35,,30,T,,,,,,,,
"     C/1862 N1 (Schmidt)",1.0000,0.981,172.11,328.44,27.17,,1862-06-22.5,,PAR,29,,72,F,,,,,,,,
"     C/1862 W1 (Respighi)",1.0000,0.803,137.54,357.70,230.58,,1862-12-28.6,,PAR,84,,25,T,,,,,,,,
"     C/1862 X1 (Bruhns)",1.0000,0.795,85.36,118.84,74.47,,1863-02-03.9,,HYP,102,,120,F,,,,,-1.622e+04,,,
"     C/1863 G1 (Klinkerfues)",0.9992,1.068,112.62,253.17,3.97,2538.86,1863-04-05.3,,COM,170,,49,F,,,,,1270,,,
"     C/1863 G2 (Respighi)",0.9991,0.629,85.50,252.08,55.59,1364.80,1863-04-21.3,,COM,48,,160,F,,,,,682.7,,,
"     C/1863 T1 (Baeker)",1.0007,1.313,83.32,106.93,78.12,,1863-12-29.6,,HYP,185,,176,F,,,,,-1975,,,
"     C/1863 V1 (Tempel)",0.9989,0.706,78.08,99.39,357.21,1259.62,1863-11-09.9,,COM,92,,58,F,,,,,630.2,,,
"     C/1863 Y1 (Respighi)",1.0000,0.771,64.49,306.63,115.67,,1863-12-28.2,,PAR,64,,9,F,,,,,,,,
"     C/1864 N1 (Tempel)",0.9964,0.909,178.13,97.67,151.58,497.47,1864-08-16.0,,COM,78,,206,F,,,,,249.2,,,
"     C/1864 O1 (Donati-Toussaint)",0.9994,0.931,109.71,33.67,232.46,2900.04,1864-10-11.8,,COM,213,,57,F,,,,,1450,,,
"     C/1864 R1 (Donati)",1.0000,0.626,134.98,176.88,346.09,,1864-07-28.3,,PAR,29,,20,T,,,,,,,,
"     C/1864 X1 (Baeker)",1.0000,0.771,48.86,205.11,118.45,,1864-12-22.9,,PAR,69,,123,T,,,,,,,,
"     C/1864 Y1 (Bruhns)",1.0000,1.115,162.89,342.78,178.50,,1864-12-28.2,,PAR,29,,10,F,,,,,,,,
"     C/1865 B1 (Great southern comet)",1.0000,0.026,92.49,254.83,111.72,,1865-01-14.8,,PAR,102,,198,T,,,,,,,,
"     C/1867 S1 (Baeker-Winnecke)",1.0000,0.330,96.57,66.84,148.64,,1867-11-07.4,,PAR,34,,57,T,,,,,,,,
"     C/1868 L1 (Winnecke)",1.0000,0.579,131.56,54.11,126.64,,1868-06-26.9,,PAR,33,,201,T,,,,,,,,
"     C/1869 T1 (Tempel)",1.0000,1.231,111.69,313.33,188.19,,1869-10-10.3,,PAR,31,,11,T,,,,,,,,
"     C/1870 K1 (Winnecke)",1.0000,1.009,121.78,143.57,198.23,,1870-07-14.5,,PAR,30,,5,T,,,,,,,,
"     C/1870 Q1 (Coggia)",1.0000,1.817,99.36,14.75,354.95,,1870-09-02.6,,PAR,98,,79,T,,,,,,,,
"     C/1870 W1 (Winnecke)",1.0002,0.390,147.29,96.59,90.55,,1870-12-20.3,,HYP,7,,9,T,,,,,-1585,,,
"     C/1871 G1 (Winnecke)",0.9915,0.648,87.61,281.22,223.06,152.30,1871-06-11.1,669,COM,37,6,39,,,,,,76.48,,,
"     C/1871 L1 (Tempel)",1.0000,1.083,101.98,213.70,96.32,,1871-07-27.5,,PAR,98,,185,F,,,,,,,,
"     C/1871 V1 (Tempel)",0.9957,0.691,98.30,148.93,242.89,321.88,1871-12-20.8,,COM,110,,57,F,,,,,161.3,,,
"     C/1873 Q1 (Borrelly)",0.9965,0.794,95.97,232.36,193.77,450.63,1873-09-11.2,,COM,31,,50,F,,,,,225.7,,,
"     C/1873 Q2 (Henry)",0.9997,0.385,121.46,178.50,233.75,2850.82,1873-10-02.2,,COM,97,,118,F,,,,,1426,,,
"     C/1874 D1 (Winnecke)",1.0000,0.045,58.89,32.05,269.51,,1874-03-10.4,,PAR,5,,11,T,,,,,,,,
"     C/1874 G1 (Winnecke)",1.0000,0.886,148.41,275.85,331.72,,1874-03-14.4,,PAR,65,,148,F,,,,,,,,
"     C/1874 H1 (Coggia)",0.9988,0.676,66.34,120.50,152.38,1144.72,1874-07-09.3,,COM,185,,638,F,,,,,572.7,,,
"     C/1874 O1 (Borrelly)",0.9988,0.983,41.83,253.28,92.61,1680.20,1874-08-27.3,,COM,87,,125,T,,,,,840.6,,,
"     C/1874 Q1 (Coggia)",0.9628,1.688,34.13,217.63,149.59,89.12,1874-07-18.2,306,COM,87,,95,F,,,,,45.4,,,
"     C/1874 X1 (Borrelly)",1.0000,0.508,99.22,283.72,16.27,,1874-10-19.4,,PAR,31,,20,T,,,,,,,,
"     C/1877 C1 (Borrelly)",1.0000,0.807,152.89,188.96,347.16,,1877-01-19.6,,PAR,53,,97,T,,,,,,,,
"     C/1877 G1 (Winnecke)",1.0013,0.950,121.14,318.34,63.16,,1877-04-18.1,,HYP,65,,25,,,,,,-750.7,,,
"     C/1877 G2 (Swift)",1.0086,1.010,77.16,347.73,116.77,,1877-04-27.3,,HYP,32,,9,,,,,,-117.3,,,
"     C/1877 R1 (Coggia)",1.0000,1.576,102.23,252.71,143.20,,1877-09-11.7,,PAR,86,,63,T,,,,,,,,
"     C/1877 T1 (Tempel)",0.9919,1.073,115.67,185.99,103.17,265.05,1877-06-27.1,1.53e+03,COM,11,,13,T,,,,,133.1,,,
"     C/1878 N1 (Swift)",1.0000,1.392,78.18,103.96,177.59,,1878-07-21.1,,PAR,16,,4,T,,,,,,,,
"     C/1879 M1 (Swift)",1.0000,0.896,107.04,47.45,3.74,,1879-04-27.9,,PAR,62,,16,T,,,,,,,,
"     C/1879 Q1 (Palisa)",1.0000,0.990,77.12,88.88,115.48,,1879-10-05.1,,PAR,48,,12,T,,,,,,,,
"     C/1879 Q2 (Hartwig)",1.0000,0.991,107.76,34.12,84.26,,1879-08-29.7,,PAR,19,,9,T,,,,,,,,
"     C/1880 C1 (Great southern comet)",1.0000,0.005,144.76,8.45,86.69,,1880-01-28.1,,HYP,5,,7,T,,,,,-520.9,,,
"     C/1880 G1 (Schaeberle)",1.0008,1.814,123.06,258.92,145.17,,1880-07-02.2,,HYP,17,,3,,,,,,-2193,,,
"     C/1880 S1 (Hartwig)",1.0000,0.355,141.91,47.01,323.13,,1880-09-07.4,,PAR,35,,140,F,,,,,,,,
"     C/1880 Y1 (Pechule)",1.0000,0.660,60.70,251.05,11.69,,1880-11-09.9,,PAR,19,,5,T,,,,,,,,
"     C/1881 J1 (Swift)",1.0000,0.591,77.93,128.11,173.81,,1881-05-20.9,,PAR,9,,40,T,,,,,,,,
"     C/1881 K1 (Great comet)",0.9961,0.735,63.43,272.63,354.24,372.98,1881-06-16.9,2.55e+03,COM,149,,104,,,,,,186.9,,,
"     C/1881 N1 (Schaeberle)",1.0000,0.634,140.23,98.72,122.15,,1881-08-22.8,,PAR,96,,500,F,,,,,,,,
"     C/1881 S1 (Barnard)",1.0000,0.449,112.82,275.82,6.29,,1881-09-14.8,,PAR,31,,4,T,,,,,,,,
"     C/1881 W1 (Swift)",0.9902,1.925,144.80,183.04,117.95,389.69,1881-11-20.2,,COM,55,,61,T,,,,,195.8,,,
"     C/1882 F1 (Wells)",1.0000,0.061,73.80,206.59,208.98,17041.16,1882-06-11.0,7.87e+05,COM,114,,41,,,,,,8521,,,
"     C/1882 R1-A (Great September comet)",0.9999,0.008,142.01,347.66,69.58,153.46,1882-09-17.7,669,COM,141,,4,F,,,,,76.73,,,
"     C/1882 R1-B (Great September comet)",0.9999,0.008,142.02,347.69,69.61,166.71,1882-09-17.7,761,COM,110,6,6,,,,,,83.36,,,
"     C/1882 R1-C (Great September comet)",0.9999,0.008,142.01,347.65,69.58,182.37,1882-09-17.7,874,COM,153,,10,F,,,,,91.19,,,
"     C/1882 R1-D (Great September comet)",0.9999,0.008,142.01,347.65,69.58,193.72,1882-09-17.7,952,COM,141,,4,F,,,,,96.86,,,
"     C/1882 R2 (Barnard)",1.0000,0.956,96.15,250.77,254.29,,1882-11-13.4,,PAR,6,,3,T,,,,,,,,
"     C/1883 D1 (Brooks-Swift)",1.0001,0.760,78.07,279.77,110.89,,1883-02-19.4,,HYP,31,,9,T,,,,,-9820,,,
"     C/1884 A1 (Ross)",1.0000,0.310,114.98,265.99,138.60,,1883-12-25.7,,PAR,16,,15,T,,,,,,,,
"     D/1884 O1 (Barnard)",0.5836,1.280,5.47,6.75,301.05,4.87,1884-08-16.9,5.39,JFc,89,7,19,,,,,,3.073,,,
"     C/1885 N1 (Barnard)",1.0000,2.506,80.61,93.90,178.61,,1885-08-06.4,,PAR,35,,32,T,,,,,,,,
"     C/1885 R1 (Brooks)",0.9823,0.749,59.10,206.37,42.85,83.73,1885-08-10.6,275,COM,32,,80,F,,,,,42.24,,,
"     C/1885 X1 (Fabry)",1.0004,0.642,82.63,37.96,126.59,,1886-04-06.4,,HYP,142,,46,,,,,,-1659,,,
"     C/1885 X2 (Barnard)",1.0002,0.479,84.44,69.91,119.62,,1886-05-03.7,,HYP,150,,76,,,,,,-2394,,,
"     C/1885 Y1 (Brooks)",1.0000,1.079,42.44,263.81,35.57,,1885-11-25.9,,HYP,37,,6,T,,,,,-1.226e+05,,,
"     C/1886 H1 (Brooks)",0.9951,0.270,87.63,194.17,201.32,110.72,1886-06-07.8,413,COM,23,7,27,,,,,,55.49,,,
"     C/1886 J1 (Brooks)",1.0001,0.842,100.21,289.36,38.59,,1886-05-04.9,,HYP,19,,19,T,,,,,-7325,,,
"     D/1886 K1 (Brooks)",0.5714,1.325,12.67,55.14,176.88,4.86,1886-06-07.2,5.44,JFc,7,9,4,,,,,,3.092,,,
"     C/1886 T1 (Barnard-Hartwig)",1.0004,0.663,101.62,138.97,86.35,,1886-12-16.9,,HYP,236,,62,F,,,,,-1626,,,
"     C/1887 B1 (Great southern comet)",1.0000,0.005,144.38,4.58,83.51,,1887-01-11.9,,PAR,8,,15,T,,,,,,,,
"     C/1887 B2 (Brooks)",0.9837,1.630,104.27,281.51,159.42,198.31,1887-03-17.8,,COM,89,,288,F,,,,,99.97,,,
"     C/1887 B3 (Barnard)",1.0000,1.481,85.59,259.80,31.91,,1886-11-28.9,,PAR,119,,86,F,,,,,,,,
"     C/1887 D1 (Barnard)",1.0000,1.006,139.78,137.04,36.55,,1887-03-28.9,,PAR,52,,75,F,,,,,,,,
"     C/1887 J1 (Barnard)",0.9961,1.394,17.55,246.85,15.09,712.10,1887-06-17.1,,COM,91,,313,F,,,,,356.7,,,
"     C/1888 D1 (Sawerthal)",0.9959,0.699,42.25,246.96,359.90,338.02,1888-03-17.5,,COM,201,,186,F,,,,,169.4,,,
"     C/1888 P1 (Brooks)",0.9999,0.902,74.19,103.06,59.22,19612.71,1888-07-31.6,,COM,82,,257,T,,,,,9807,,,
"     C/1888 R1 (Barnard)",1.0012,1.815,166.38,358.98,340.46,,1889-01-31.6,,HYP,684,,173,F,,,,,-1476,,,
"     C/1888 U1 (Barnard)",0.9915,1.528,56.34,139.09,290.81,357.46,1888-09-13.2,,COM,201,,54,F,,,,,179.5,,,
"     C/1889 G1 (Barnard)",0.9998,2.256,163.85,312.22,236.06,24784.51,1889-06-11.3,,COM,525,,41,F,,,,,1.239e+04,,,
"     C/1889 O1 (Davidson)",0.9976,1.040,65.99,287.71,345.86,869.38,1889-07-19.7,,COM,115,,92,F,,,,,435.2,,,
"     C/1889 X1 (Borrelly)",1.0000,0.270,56.75,10.02,199.86,,1890-01-26.9,,PAR,34,,40,T,,,,,,,,
"     C/1890 F1 (Brooks)",1.0003,1.908,120.57,321.88,68.93,,1890-06-02.0,,HYP,685,,140,,,,,,-5684,,,
"     C/1890 O1 (Coggia)",1.0000,0.764,63.35,15.83,85.66,,1890-07-09.0,,PAR,27,,68,F,,,,,,,,
"     C/1890 O2 (Denning)",0.9992,1.260,98.94,101.66,163.05,3098.92,1890-09-25.0,,COM,107,,123,F,,,,,1550,,,
"     C/1890 V1 (Zona)",0.9944,2.040,154.26,86.89,330.88,720.33,1890-08-06.8,6.86e+03,COM,6,,5,,,,,,361.2,,,
"     C/1891 F1 (Barnard-Denning)",1.0000,0.398,120.51,195.45,178.75,,1891-04-28.0,,PAR,101,,110,F,,,,,,,,
"     C/1891 T1 (Barnard)",1.0000,0.971,77.99,219.53,269.57,,1891-11-14.0,,PAR,65,,41,T,,,,,,,,
"     C/1892 E1 (Swift)",0.9988,1.027,38.70,242.43,24.50,1741.22,1892-04-07.1,2.57e+04,COM,229,,40,,,,,,871.1,,,
"     C/1892 F1 (Denning)",1.0031,1.974,89.72,254.96,129.48,,1892-05-11.9,,HYP,58,,3,,,,,,-631.1,,,
"     C/1892 Q1 (Brooks)",1.0003,0.976,24.80,266.03,252.65,,1892-12-28.5,,HYP,293,,13,,,,,,-3135,,,
"     C/1892 W1 (Brooks)",1.0000,1.195,143.85,187.14,85.21,,1893-01-06.9,,PAR,64,,17,T,,,,,,,,
"     C/1893 N1 (Rordame-Quenisset)",1.0823,0.670,159.77,339.66,48.01,,1893-07-07.8,,HYP,4,,5,,,,,,-8.137,,,
"     C/1893 U1 (Brooks)",0.9965,0.812,129.82,176.41,347.45,461.73,1893-09-19.7,,COM,82,,153,T,,,,,231.3,,,
"     D/1894 F1 (Denning)",0.6984,1.147,5.53,85.71,46.39,6.46,1894-02-09.9,7.42,JFc,70,6,138,,,,,,3.804,,,
"     C/1894 G1 (Gale)",0.9891,0.983,86.96,207.89,324.18,179.41,1894-04-13.8,857,COM,79,6,29,,,,,,90.2,,,
"     D/1895 Q1 (Swift)",0.6520,1.298,2.99,171.75,167.78,6.16,1895-08-21.3,7.2,JFc,166,,182,F,,,,,3.729,,,
"     C/1895 W1 (Perrine)",1.0001,0.192,141.63,321.96,272.67,,1895-12-18.8,,HYP,95,,6,,,,,,-3715,,,
"     C/1895 W2 (Brooks)",1.0000,0.843,76.25,84.55,298.78,,1895-10-21.5,,PAR,27,,78,T,,,,,,,,
"     C/1896 C1 (Perrine-Lamp)",1.0000,0.587,155.74,210.28,358.32,,1896-02-01.2,,HYP,23,,30,T,,,,,-5.552e+04,,,
"     C/1896 G1 (Swift)",0.9987,0.566,55.52,179.73,1.71,883.65,1896-04-18.1,9.3e+03,COM,21,,8,,,,,,442.1,,,
"     C/1896 R1 (Sperra)",1.0000,1.143,88.42,152.44,41.06,,1896-07-11.4,,PAR,29,,27,T,,,,,,,,
"     C/1896 V1 (Perrine)",1.0002,1.063,146.14,87.93,172.32,,1897-02-08.5,,HYP,125,,7,,,,,,-4289,,,
"     C/1897 U1 (Perrine)",1.0000,1.356,69.61,33.49,65.95,,1897-12-09.1,,HYP,15,,11,T,,,,,-4.665e+05,,,
"     C/1898 F1 (Perrine)",0.9804,1.095,72.53,263.87,47.31,110.49,1898-03-17.6,417,COM,117,5,190,,,,,,55.79,,,
"     C/1898 L1 (Coddington-Pauly)",1.0010,1.702,69.94,75.41,233.27,,1898-09-14.5,,HYP,541,,128,,,,,,-1742,,,
"     C/1898 L2 (Perrine)",1.0000,0.626,70.03,260.52,205.64,,1898-08-16.7,,PAR,35,,15,T,,,,,,,,
"     C/1898 M1 (Giacobini)",1.0089,1.502,166.87,279.66,22.23,,1898-07-25.7,,HYP,28,,19,T,,,,,-169,,,
"     C/1898 R1 (Perrine-Chofardet)",1.0000,0.420,28.86,36.29,162.36,,1898-10-21.0,,HYP,18,,71,T,,,,,-1.234e+04,,,
"     C/1898 U1 (Brooks)",1.0000,0.756,140.34,97.74,123.55,,1898-11-23.6,,PAR,31,,60,T,,,,,,,,
"     C/1898 V1 (Chase)",0.9992,2.285,22.50,97.24,4.66,6086.14,1898-09-20.6,1.68e+05,COM,180,,29,,,,,,3044,,,
"     C/1899 E1 (Swift)",1.0003,0.327,146.27,26.41,8.71,,1899-04-13.4,,HYP,126,,151,,,,,,-1004,,,
"     C/1899 S1 (Giacobini)",1.0000,1.786,76.95,273.63,10.75,,1899-09-15.3,,PAR,79,,36,T,,,,,,,,
"     C/1900 B1 (Giacobini)",1.0012,1.332,146.45,41.79,24.41,,1900-04-29.4,,HYP,165,,30,,,,,,-1129,,,
"     C/1900 O1 (Borrelly-Brooks)",1.0003,1.015,62.53,329.41,12.42,,1900-08-03.7,,HYP,94,,120,,,,,,-3395,,,
"     C/1901 G1 (Great comet)",1.0000,0.245,131.08,111.04,203.05,,1901-04-24.7,,PAR,42,,55,T,,,,,,,,
"     C/1902 G1 (Brooks)",1.0000,0.444,65.20,54.03,229.62,,1902-05-07.7,,PAR,3,,9,T,,,,,,,,
"     C/1902 R1 (Perrine)",0.9999,0.401,156.35,50.74,152.99,5492.36,1902-11-24.3,1.44e+05,COM,70,,132,,,,,,2746,,,
"     C/1902 X1 (Giacobini)",1.0000,2.773,43.89,118.81,5.84,,1903-03-23.9,,HYP,131,,12,,,,,,-8.355e+04,,,
"     C/1903 A1 (Giacobini)",1.0081,0.411,30.95,3.61,133.58,,1903-03-16.4,,HYP,7,,9,,,,,,-50.8,,,
"     C/1903 H1 (Grigg)",1.0000,0.499,66.48,214.49,184.94,,1903-03-25.9,,PAR,31,,32,T,,,,,,,,
"     C/1903 M1 (Borrelly)",1.0008,0.330,85.04,294.92,127.22,,1903-08-28.1,,HYP,58,,20,,,,,,-421.1,,,
"     C/1904 H1 (Brooks)",1.0019,2.708,125.13,277.13,53.52,,1904-03-07.6,,HYP,140,,31,,,,,,-1416,,,
"     C/1904 Y1 (Giacobini)",1.0007,1.882,99.60,219.79,40.74,,1904-11-03.8,,HYP,135,,48,F,,,,,-2776,,,
"     C/1905 F1 (Giacobini)",0.9528,1.113,40.07,158.95,358.16,46.01,1905-04-04.5,114,HTC,25,9,5,,,,,,23.56,,,
"     C/1905 W1 (Schaer)",0.9860,1.051,140.53,224.30,132.47,149.16,1905-10-25.9,651,COM,34,8,26,,,,,,75.11,,,
"     C/1905 X1 (Giacobini)",1.0000,0.216,43.65,93.37,199.22,,1906-01-22.8,,PAR,81,,40,T,,,,,,,,
"     C/1906 B1 (Brooks)",0.9998,1.296,126.44,287.71,89.84,17022.64,1905-12-22.7,7.85e+05,COM,83,,158,,,,,,8512,,,
"     C/1906 E1 (Kopff)",1.0019,3.340,4.28,343.62,158.61,,1905-10-18.3,,HYP,100,,115,,,,,,-1780,,,
"     C/1906 F1 (Ross)",1.0000,0.723,83.46,73.35,276.46,,1906-02-21.4,,PAR,14,,3,T,,,,,,,,
"     C/1906 V1 (Thiele)",0.9808,1.212,56.37,86.09,8.63,124.91,1906-11-21.7,501,COM,66,7,51,,,,,,63.06,,,
"     C/1907 E1 (Giacobini)",1.0045,2.052,141.66,98.47,317.05,,1907-03-19.4,,HYP,35,,23,,,,,,-453.1,,,
"     C/1907 G1 (Grigg-Mellish)",0.9852,0.924,109.95,190.47,328.60,123.93,1907-03-27.8,493,COM,,9,4,,,,,,62.43,,,
"     C/1907 L2 (Daniel)",0.9988,0.512,8.96,144.27,294.47,830.60,1907-09-04.4,8.47e+03,COM,344,,173,,,,,,415.6,,,
"     C/1907 T1 (Mellish)",1.0001,0.983,119.64,55.90,294.38,,1907-09-14.8,,HYP,49,,16,T,,,,,-1.146e+04,,,
"     C/1908 R1 (Morehouse)",1.0009,0.945,140.17,104.46,171.58,,1908-12-26.2,,HYP,88,,132,,,,,,-1023,,,
"     C/1909 L1 (Borrelly-Daniel)",0.9960,0.843,52.08,306.90,5.01,424.46,1909-06-05.7,3.1e+03,COM,41,,13,,,,,,212.7,,,
"     C/1910 A1 (Great January comet)",0.9998,0.129,138.78,90.03,320.89,1214.58,1910-01-17.5,1.5e+04,COM,82,,25,,,,,,607.4,,,
"     C/1910 P1 (Metcalf)",0.9981,1.947,121.04,290.78,51.00,2010.69,1910-09-16.8,3.19e+04,COM,52,,30,,,,,,1006,,,
"     C/1911 N1 (Kiess)",0.9963,0.684,148.42,158.67,110.37,366.63,1911-06-30.6,2.49e+03,COM,71,,86,,,,,,183.7,,,
"     C/1911 O1 (Brooks)",0.9970,0.489,33.81,294.21,153.00,326.34,1911-10-28.2,,COM,221,,619,F,,,,,163.4,,,
"     C/1911 S2 (Quenisset)",0.9968,0.787,108.10,36.43,122.09,484.09,1911-11-12.8,3.77e+03,COM,30,,7,,,,,,242.4,,,
"     C/1911 S3 (Beljawsky)",1.0001,0.303,96.47,89.90,71.71,,1911-10-10.7,,HYP,140,,66,F,,,,,-2064,,,
"     C/1912 R1 (Gale)",1.0004,0.716,79.81,298.25,25.62,,1912-10-05.4,,HYP,207,,30,,,,,,-1625,,,
"     C/1912 V1 (Borrelly)",1.0000,1.107,124.64,145.02,99.68,,1912-10-21.4,,PAR,28,,3,T,,,,,,,,
"     C/1913 J1 (Schaumasse)",0.9972,1.457,152.36,316.27,52.98,1049.04,1913-05-15.6,1.2e+04,COM,26,,22,,,,,,525.2,,,
"     C/1913 R1 (Metcalf)",0.9976,1.356,143.35,158.64,117.71,1110.22,1913-09-14.5,,COM,57,,299,T,,,,,555.8,,,
"     C/1913 Y1 (Delavan)",1.0001,1.104,68.04,60.40,97.47,,1914-10-26.7,,HYP,577,,154,,,,,,-7862,,,
"     C/1914 F1 (Kritzinger)",1.0006,1.199,23.92,200.12,72.22,,1914-06-04.6,,HYP,109,,68,,,,,,-1920,,,
"     C/1914 J1 (Zlatinsky)",1.0001,0.543,112.98,33.85,116.42,,1914-05-08.8,,HYP,25,,25,T,,,,,-4075,,,
"     C/1914 M1 (Neujmin)",1.0032,3.747,71.05,271.51,13.98,,1914-07-30.4,,HYP,92,,10,,,,,,-1154,,,
"     C/1914 S1 (Campbell)",0.9038,0.678,76.86,2.40,265.28,13.43,1914-08-03.1,18.7,JFC,5,9,5,,,,,,7.053,,,
"     C/1915 C1 (Mellish)",1.0003,1.005,54.79,73.45,247.78,,1915-07-17.6,,HYP,376,,77,,,,,,-3647,,,
"     C/1915 R1 (Mellish)",1.0009,0.463,52.41,77.64,116.36,,1915-10-13.6,,HYP,4,,7,T,,,,,-491.1,,,
"     C/1916 G1 (Wolf)",0.9994,1.686,25.66,184.46,120.62,5832.02,1917-06-17.0,1.58e+05,COM,583,,69,,,,,,2917,,,
"     C/1917 F1 (Mellish)",0.9931,0.190,32.69,88.67,121.31,54.61,1917-04-11.1,143,HTC,38,6,11,,,,,,27.4,,,
"     C/1917 H1 (Schaumasse)",1.0001,0.764,158.74,10.83,119.15,,1917-05-18.7,,HYP,56,,45,T,,,,,-1.181e+04,,,
"     C/1918 L1 (Reid)",1.0000,1.102,69.71,18.84,194.91,,1918-06-06.3,,PAR,34,,3,T,,,,,,,,
"     D/1918 W1 (Schorr)",0.4683,1.883,5.57,118.96,279.29,5.20,1918-09-30.2,6.66,JFc,38,7,22,,,,,,3.542,,,
"     C/1919 Q2 (Metcalf)",0.9998,1.115,46.38,122.10,185.76,10072.48,1919-12-07.8,3.57e+05,COM,83,,18,,,,,,5037,,,
"     C/1919 Y1 (Skjellerup)",1.0000,0.298,123.17,316.71,276.58,,1920-01-03.1,,PAR,,,,T,,,,,,,,
"     C/1920 X1 (Skjellerup)",0.9941,1.148,22.03,108.83,340.89,386.05,1920-12-11.5,2.69e+03,COM,44,,5,,,,,,193.6,,,
"     C/1921 E1 (Reid)",1.0006,1.008,132.19,269.44,64.49,,1921-05-10.4,,HYP,51,,20,,,,,,-1752,,,
"     C/1921 H1 (Dubiago)",0.9347,1.116,22.35,67.13,97.48,33.09,1921-05-05.3,70.7,HTC,40,7,27,,,,,,17.1,,,
"     C/1922 B1 (Reid)",0.9870,1.629,32.45,275.60,183.68,248.38,1921-10-28.7,,COM,67,,70,T,,,,,125,,,
"     C/1922 U1 (Baade)",1.0005,2.259,51.46,221.58,118.29,,1922-10-26.5,,HYP,143,,103,,,,,,-4777,,,
"     C/1922 W1 (Skjellerup)",0.9937,0.924,23.37,263.06,264.48,293.92,1923-01-04.2,,COM,78,,65,T,,,,,147.4,,,
"     C/1923 T1 (Dubiago-Bernard)",1.0000,0.778,113.79,227.74,255.32,,1923-11-18.3,,PAR,54,,4,T,,,,,,,,
"     C/1924 F1 (Reid)",0.9986,1.756,72.33,115.07,271.44,2502.80,1924-03-13.9,,COM,191,,63,F,,,,,1252,,,
"     C/1924 R1 (Finsler)",0.9985,0.406,120.11,81.15,66.50,551.87,1924-09-04.8,4.59e+03,COM,13,,8,T,,,,,276.1,,,
"     C/1925 F1 (Shajn-Comas Sola)",1.0024,4.181,146.71,358.54,205.76,,1925-09-06.9,,HYP,711,,59,F,,,,,-1719,,,
"     C/1925 F2 (Reid)",0.9951,1.633,26.98,7.04,259.28,667.20,1925-07-29.8,,COM,644,,283,F,,,,,334.4,,,
"     C/1925 G1 (Orkisz)",1.0006,1.109,100.02,319.11,36.18,,1925-04-01.5,,HYP,391,,201,F,,,,,-1834,,,
"     C/1925 V1 (Wilk-Peltier)",1.0005,0.764,144.60,141.78,126.13,,1925-12-07.2,,HYP,40,,164,T,,,,,-1512,,,
"     C/1925 W1 (Van Biesbroeck)",1.0004,1.566,49.33,335.61,106.40,,1925-10-02.9,,HYP,195,,129,F,,,,,-4100,,,
"     C/1925 X1 (Ensor)",1.0000,0.323,123.00,283.46,354.89,,1926-02-11.9,,PAR,38,,28,T,,,,,,,,
"     C/1926 B1 (Blathwayt)",0.9924,1.345,128.30,137.13,328.26,351.98,1926-01-02.8,,COM,60,,47,F,,,,,176.7,,,
"     C/1927 A1 (Blathwayt)",1.0000,1.036,92.36,19.82,231.86,,1927-02-14.5,,PAR,74,,33,T,,,,,,,,
"     C/1927 B1 (Reid)",1.0012,0.750,83.67,109.60,224.16,,1926-12-30.3,,HYP,8,,7,T,,,,,-632.2,,,
"     C/1927 E1 (Stearns)",1.0013,3.685,87.69,215.66,11.07,,1927-03-22.4,,HYP,93,,17,,,,,,-2913,,,
"     C/1927 X1 (Skjellerup-Maristany)",0.9998,0.176,85.11,78.24,47.16,2201.79,1927-12-18.1,,COM,115,,34,F,,,,,1101,,,
"     C/1929 Y1 (Wilk)",0.9990,0.672,124.51,179.97,157.49,1382.53,1930-01-22.3,,COM,39,,212,T,,,,,691.6,,,
"     C/1930 D1 (Peltier-Schwassmann-Wachmann)",0.9981,1.087,99.88,148.53,325.08,1162.22,1930-01-15.6,,COM,29,,33,T,,,,,581.7,,,
"     C/1930 E1 (Beyer)",1.0005,2.079,71.97,117.37,24.63,,1930-04-18.1,,HYP,673,,249,F,,,,,-3967,,,
"     C/1930 F1 (Wilk)",0.9922,0.482,67.14,91.24,46.96,122.96,1930-03-28.7,485,COM,103,,260,F,,,,,61.72,,,
