"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2018 NW1)",1.937,0.4645,12.28,108.64,185.45,1.037,2.84,2.7,9,7,37,,,25.30
"       (2018 NE2)",2.641,0.5479,30.07,170.19,126.28,1.194,4.09,4.29,86,6,32,,,20.70
"       (2018 NG2)",1.508,0.1461,18.67,300.68,23.56,1.287,1.73,1.85,1630,3,45,,,21.66
"       (2018 NH2)",1.741,0.4014,11.53,283.54,332.66,1.042,2.44,2.3,67,5,44,,,23.10
"       (2018 NJ2)",1.557,0.2360,4.84,312.07,347.40,1.190,1.92,1.94,29,7,25,,,24.30
"       (2018 NU2)",2.608,0.5615,1.77,43.11,245.30,1.144,4.07,4.21,8,8,13,,,24.40
"       (2018 NL3)",2.646,0.5928,4.08,93.76,221.55,1.077,4.21,4.3,90,7,22,,,23.60
"       (2018 NM3)",2.115,0.4128,6.62,299.92,338.50,1.242,2.99,3.07,33,7,23,,,23.80
"       (2018 NO3)",2.654,0.5471,17.03,105.42,169.47,1.202,4.11,4.32,27,7,18,,,22.10
"       (2018 NQ3)",2.154,0.5106,11.19,108.83,180.29,1.054,3.25,3.16,3,8,8,,,26.00
"       (2018 NR3)",3.234,0.6721,3.34,108.97,153.27,1.061,5.41,5.82,2,9,12,,,24.10
"       (2018 NS3)",1.518,0.2916,22.77,101.26,260.55,1.076,1.96,1.87,935,1,31,,,21.80
"       (2018 NT3)",1.188,0.1145,18.72,109.08,239.31,1.052,1.32,1.29,4739,0,48,,,23.11
"       (2018 NU3)",2.697,0.5970,9.51,137.63,210.51,1.087,4.31,4.43,154,4,275,,,20.77
"       (2018 NV3)",2.358,0.5266,6.99,289.54,12.42,1.116,3.60,3.62,28,7,22,,,24.30
"       (2018 NB4)",2.087,0.4587,13.77,349.91,204.33,1.130,3.04,3.02,1112,1,33,,,19.50
"       (2018 NE4)",1.764,0.3230,14.35,289.58,296.65,1.194,2.33,2.34,1254,3,130,,,20.16
"       (2018 NG4)",2.324,0.5420,33.84,282.37,8.89,1.064,3.58,3.54,28,7,102,,,22.10
"       (2018 NH4)",2.092,0.5130,8.31,114.57,145.51,1.019,3.16,3.02,24,8,22,,,24.70
"       (2018 NK4)",1.704,0.3768,0.75,221.90,48.95,1.062,2.35,2.22,29,7,23,,,25.20
"       (2018 NM4)",1.692,0.2525,17.98,131.01,194.18,1.265,2.12,2.2,1910,1,51,,,20.80
"       (2018 NN4)",2.687,0.5723,29.22,291.25,340.41,1.149,4.22,4.4,3338,0,230,,,18.30
"       (2018 NO4)",2.433,0.5125,10.06,317.37,15.97,1.186,3.68,3.8,137,4,74,,,20.70
"       (2018 NC15)",1.596,0.3426,14.12,94.52,126.27,1.049,2.14,2.02,1476,0,57,,,21.87
"       (2018 NG15)",1.561,0.3233,8.24,104.55,226.20,1.056,2.07,1.95,1,9,7,,,23.54
"       (2018 OB)",2.556,0.5887,0.75,178.03,99.84,1.051,4.06,4.09,91,6,87,,,24.00
"       (2018 OK)",2.321,0.5151,5.14,218.18,92.14,1.126,3.52,3.54,121,4,48,,,22.50
"       (2018 OT)",2.433,0.4884,20.88,126.50,154.92,1.245,3.62,3.8,5,8,29,,,22.70
"       (2018 OA1)",2.151,0.5074,10.16,302.00,356.71,1.059,3.24,3.15,81,5,21,,,24.23
"       (2018 PS7)",2.385,0.4590,8.02,356.49,327.04,1.290,3.48,3.68,88,5,88,,,21.00
"       (2018 PT7)",1.908,0.4475,10.63,130.18,208.80,1.054,2.76,2.63,71,7,34,,,23.70
"       (2018 PV7)",1.595,0.2968,13.14,313.10,41.76,1.121,2.07,2.01,33,6,22,,,24.20
"       (2018 PX7)",2.125,0.4550,7.31,337.83,329.78,1.158,3.09,3.1,54,5,84,,,22.10
"       (2018 PF8)",2.862,0.6395,29.82,189.57,156.83,1.032,4.69,4.84,1998,0,108,,,19.53
"       (2018 PG8)",2.148,0.4720,7.63,321.06,324.56,1.134,3.16,3.15,34,7,30,,,23.90
"       (2018 PH8)",2.175,0.5277,0.31,207.63,60.08,1.027,3.32,3.21,28,8,19,,,25.00
