"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2020 DF)",0.7608,0.3351,13.09,322.53,18.51,0.506,1.02,0.664,3,8,22,,,26.20
"       (2020 DK)",0.689,0.4994,2.80,323.26,13.14,0.345,1.03,0.572,17,7,53,,,26.06
"       (2020 DO)",0.9469,0.0704,8.29,148.53,176.91,0.880,1.01,0.921,9,6,37,,,27.00
"       (2020 DW)",0.8597,0.1689,0.06,89.93,216.10,0.714,1.00,0.797,3,5,51,,,30.40
"       (2020 DX1)",0.9934,0.1402,11.30,153.66,242.36,0.854,1.13,0.99,12,7,33,,,26.50
"       (2020 DB3)",0.745,0.3894,11.28,43.06,264.25,0.455,1.04,0.643,4020,1,86,,,20.52
"       (2020 DO3)",0.8092,0.5620,6.81,156.01,216.61,0.354,1.26,0.728,1,6,21,,,27.50
"       (2020 DO4)",0.9114,0.2079,1.17,170.65,213.86,0.722,1.10,0.87,6,6,33,,,27.50
"       (2020 DR4)",0.8154,0.2925,4.36,336.46,32.32,0.577,1.05,0.736,3,6,24,,,29.75
"       (2020 DP16)",0.9189,0.0975,27.01,146.06,174.68,0.829,1.01,0.881,6,7,29,,,25.58
"       (2020 EF)",0.9595,0.1149,6.86,352.54,319.42,0.849,1.07,0.94,18,6,30,,,26.20
"       (2020 FL)",0.8711,0.3972,5.91,358.08,309.79,0.525,1.22,0.813,1,5,78,,,24.80
"       (2020 FM)",0.9924,0.3125,21.61,173.05,246.31,0.682,1.30,0.989,369,2,72,,,24.10
"       (2020 FK1)",0.9514,0.0897,8.97,174.98,234.88,0.866,1.04,0.928,1,6,58,,,27.40
"       (2020 FJ3)",0.83,0.2844,13.30,3.30,19.48,0.594,1.07,0.756,1099,1,31,,,23.93
"       (2020 FV4)",0.7135,0.4419,3.63,19.21,335.30,0.398,1.03,0.603,7,7,64,,,25.39
"       (2020 FM5)",0.9122,0.1891,3.49,178.73,138.71,0.740,1.08,0.871,2,6,25,,,28.60
"       (2020 GB)",0.9409,0.3333,6.31,192.68,122.20,0.627,1.25,0.913,12,6,90,,,25.70
"       (2020 GF)",0.8374,0.2360,3.95,5.27,348.67,0.640,1.03,0.766,13,7,16,,,26.00
"       (2020 GQ)",0.8987,0.1704,6.14,187.76,206.69,0.746,1.05,0.852,12,7,30,,,26.40
"       (2020 GE1)",0.994,0.0856,7.74,17.51,72.35,0.909,1.08,0.991,12,4,90,,,27.10
"       (2020 GX2)",0.9105,0.1969,17.14,204.96,218.97,0.731,1.09,0.869,7,5,48,,,26.50
"       (2020 GZ2)",0.8068,0.3758,2.54,31.23,324.19,0.504,1.11,0.725,4,6,41,,,27.90
"       (2020 GE3)",0.902,0.2349,1.47,173.96,187.51,0.690,1.11,0.857,12,7,27,,,26.10
"       (2020 HF)",0.8821,0.2782,0.31,268.56,73.28,0.637,1.13,0.828,2,6,24,,,25.20
"       (2020 HT)",0.9356,0.1701,9.54,209.08,214.24,0.776,1.09,0.905,10,7,27,,,26.70
"       (2020 HY)",0.8989,0.5525,18.27,207.14,224.50,0.402,1.40,0.852,424,3,106,,,22.91
"       (2020 HP1)",0.9843,0.1332,4.50,203.59,255.36,0.853,1.12,0.977,8,4,29,,,28.60
"       (2020 HU1)",0.8011,0.3490,43.44,207.74,189.58,0.522,1.08,0.717,12,8,78,,,23.50
"       (2020 HY1)",0.8785,0.3303,2.52,187.00,223.59,0.588,1.17,0.823,11,7,39,,,24.30
"       (2020 HW2)",0.8138,0.3746,3.28,91.49,271.32,0.509,1.12,0.734,7,8,30,,,24.89
"       (2020 HX2)",0.8603,0.3139,9.55,98.72,267.38,0.590,1.13,0.798,7,7,22,,,21.90
"       (2020 HQ3)",0.9877,0.3233,3.64,212.61,123.53,0.668,1.31,0.982,18,6,78,,,25.36
"       (2020 HL4)",0.7956,0.3928,6.40,46.79,2.06,0.483,1.11,0.71,23,7,42,,,24.60
"       (2020 HM5)",0.8702,0.6223,11.58,41.03,27.94,0.329,1.41,0.812,7,8,65,,,23.60
"       (2020 HO5)",0.9896,0.0239,4.71,211.83,131.34,0.966,1.01,0.984,3,4,47,,,28.50
"       (2020 HY6)",0.7379,0.4313,9.37,36.44,16.36,0.420,1.06,0.634,4,7,58,,,26.90
"       (2020 HE7)",0.8724,0.1710,3.68,214.63,184.39,0.723,1.02,0.815,3,7,24,,,28.80
"       (2020 HK7)",0.9142,0.6294,13.78,207.64,206.09,0.339,1.49,0.874,3344,0,70,,,21.84
"       (2020 HR8)",0.8901,0.3497,4.65,39.63,316.05,0.579,1.20,0.84,6,6,35,,,26.90
"       (2020 HG9)",0.8642,0.4186,1.74,64.42,308.97,0.502,1.23,0.803,26,5,179,,,23.34
"       (2020 JG)",0.8651,0.4670,6.10,220.24,225.66,0.461,1.27,0.805,9,6,45,,,25.80
"       (2020 JU)",0.9388,0.0861,10.70,259.04,167.05,0.858,1.02,0.91,184,3,303,,,20.83
"       (2020 JG1)",0.9726,0.1035,9.96,229.56,156.39,0.872,1.07,0.959,14,4,43,,,25.80
"       (2020 JQ1)",0.7723,0.5396,7.33,230.69,212.39,0.356,1.19,0.679,8,7,41,,,26.10
"       (2020 JK2)",0.9389,0.2474,6.09,235.57,227.67,0.707,1.17,0.91,2,6,14,,,27.31
"       (2020 JZ2)",0.9456,0.1990,9.32,69.26,21.02,0.757,1.13,0.92,15,6,32,,,25.70
"       (2020 KK)",0.8892,0.6909,20.79,56.51,31.93,0.275,1.50,0.838,5,9,19,,,24.65
"       (2020 KT)",0.8023,0.3936,5.78,171.77,230.50,0.486,1.12,0.719,12,8,30,,,24.00
"       (2020 KV)",0.9653,0.1702,23.73,66.15,300.48,0.801,1.13,0.948,15,6,68,,,25.00
"       (2020 KA1)",0.8911,0.1677,14.67,233.05,199.91,0.742,1.04,0.841,5,6,24,,,26.70
"       (2020 KR2)",0.9572,0.1645,3.03,199.21,262.77,0.800,1.11,0.937,5,6,17,,,26.60
"       (2020 KS2)",0.8772,0.2050,29.84,233.57,173.63,0.697,1.06,0.822,4,8,34,,,24.40
"       (2020 KS3)",0.9684,0.2798,11.25,61.82,313.09,0.697,1.24,0.953,6,8,19,,,23.50
"       (2020 KF4)",0.8625,0.3587,13.82,61.13,13.26,0.553,1.17,0.801,10,8,15,,,24.40
"       (2020 KJ4)",0.9749,0.1336,2.86,67.58,293.92,0.845,1.11,0.963,7,5,44,,,29.90
"       (2020 KK5)",0.9322,0.6338,15.15,83.26,325.06,0.341,1.52,0.9,714,2,46,,,21.93
"       (2020 KS5)",0.8447,0.4303,13.41,63.15,326.94,0.481,1.21,0.776,2,7,19,,,25.40
"       (2020 KF6)",0.9243,0.1714,21.83,248.87,131.22,0.766,1.08,0.889,2,7,27,,,23.80
"       (2020 KR6)",0.9822,0.4823,24.03,33.97,77.33,0.509,1.46,0.973,1080,1,55,,,20.04
"       (2020 KP7)",0.9067,0.3532,22.68,259.69,192.49,0.587,1.23,0.863,2543,1,40,,,21.90
"       (2020 KQ7)",0.9711,0.1124,2.15,112.01,284.06,0.862,1.08,0.957,29,4,29,0,1,26.50
"       (2020 LE)",0.7917,0.3958,21.49,255.48,196.00,0.478,1.11,0.704,38,6,153,,,22.10
"       (2020 LO)",0.9604,0.1658,9.95,253.48,241.55,0.801,1.12,0.941,15,5,51,,,26.80
"       (2020 LV)",0.9146,0.1528,5.51,91.85,319.25,0.775,1.05,0.875,9,4,40,2,1,25.30
"       (2020 ME)",0.8428,0.2697,16.65,99.92,351.79,0.616,1.07,0.774,31,6,46,,,23.60
"       (2020 MX)",0.8327,0.2776,4.45,282.51,176.99,0.602,1.06,0.76,1093,1,170,,,23.95
"       (2020 MA1)",0.8828,0.2003,4.93,102.08,8.85,0.706,1.06,0.829,15,7,29,,,25.40
"       (2020 MS1)",0.9629,0.1177,24.96,271.20,151.01,0.850,1.08,0.945,23,7,118,,,23.30
"       (2020 MP2)",0.9809,0.2931,13.84,127.88,303.02,0.693,1.27,0.971,1179,1,82,,,22.21
"       (2020 MK3)",0.8084,0.3603,2.36,94.55,334.28,0.517,1.10,0.727,13,7,42,,,25.80
"       (2020 MO3)",0.948,0.2094,1.57,53.85,77.97,0.749,1.15,0.923,448,4,28,,,24.60
"       (2020 MR3)",0.8183,0.6060,8.30,276.82,175.13,0.322,1.31,0.74,3346,1,44,,,22.73
"       (2020 MA4)",0.8609,0.4913,15.34,287.52,171.27,0.438,1.28,0.799,2532,0,61,,,22.06
"       (2020 NC)",0.826,0.2913,6.12,101.67,29.62,0.585,1.07,0.751,1106,1,86,,,22.15
"       (2020 NJ1)",0.9349,0.2750,7.72,295.49,197.64,0.678,1.19,0.904,35,5,54,,,22.70
"       (2020 OM)",0.7112,0.4612,11.91,117.21,3.84,0.383,1.04,0.6,1,7,23,,,26.93
