"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"155337 (2006 KH89)",5.233,0.0913,17.02,353.83,306.59,4.755,5.71,12,8104,0,391,,,12.64
"155415 (1996 JZ5)",5.246,0.1413,3.87,109.96,239.69,4.505,5.99,12,9904,0,381,,,13.37
"155427 (1997 LO5)",5.182,0.0725,12.78,186.07,123.50,4.807,5.56,11.8,9905,0,288,,,13.70
"155786 (2000 SD358)",5.276,0.1089,23.51,98.98,230.18,4.702,5.85,12.1,8369,0,722,,,12.26
"155789 (2000 TD9)",5.204,0.1710,7.91,183.05,114.08,4.314,6.09,11.9,8662,0,621,,,12.87
"156098 (2001 SR228)",5.144,0.0983,7.65,174.61,189.08,4.639,5.65,11.7,7953,0,374,,,13.52
"156123 (2001 SV337)",5.222,0.0354,11.94,356.61,118.64,5.038,5.41,11.9,7952,0,229,,,13.36
"156125 (2001 SH347)",5.234,0.0435,18.00,354.44,12.81,5.006,5.46,12,8321,0,311,,,13.04
"156185 (2001 TH220)",5.141,0.0533,35.28,10.72,250.02,4.867,5.42,11.7,7977,0,337,,,12.72
"156188 (2001 TV233)",5.233,0.0933,4.61,19.12,288.11,4.745,5.72,12,8356,0,400,,,12.93
"156210 (2001 UH57)",5.175,0.0784,16.10,19.34,323.33,4.769,5.58,11.8,10787,0,409,,,13.09
"156222 (2001 UB91)",5.102,0.0758,5.83,170.94,167.33,4.715,5.49,11.5,10475,0,371,,,13.69
"156237 (2001 UH146)",5.195,0.1902,3.21,235.34,88.03,4.207,6.18,11.8,8095,0,357,,,13.43
"156250 (2001 UM198)",5.225,0.1417,1.77,285.89,122.70,4.485,5.97,11.9,11081,0,277,,,13.78
"156252 (2001 UV201)",5.178,0.0719,5.43,356.66,322.51,4.805,5.55,11.8,7633,0,253,,,13.46
"156293 (2001 WB59)",5.266,0.0995,3.64,241.50,4.36,4.742,5.79,12.1,8277,0,566,,,12.87
"156294 (2001 WU66)",5.244,0.0842,4.10,184.51,190.01,4.802,5.69,12,8304,0,292,,,13.48
"156730 (2002 VM140)",5.235,0.0919,2.73,135.13,163.17,4.754,5.72,12,9920,0,372,,,13.21
"157468 (2004 XS184)",5.204,0.0277,9.47,336.97,189.45,5.060,5.35,11.9,8310,0,284,,,13.27
"157469 (2005 AP31)",5.171,0.0837,24.59,107.46,148.93,4.739,5.60,11.8,9549,0,641,,,12.58
"157470 (2005 AG61)",5.223,0.0120,4.74,30.79,164.47,5.161,5.29,11.9,7646,0,356,,,13.48
"157471 (2005 AX71)",5.212,0.1158,3.32,341.87,2.53,4.609,5.82,11.9,8725,0,264,,,13.67
"157730 (2006 BS88)",5.267,0.0257,4.34,343.62,318.08,5.132,5.40,12.1,7944,0,180,,,14.09
"157740 (2006 BP199)",5.311,0.0787,1.65,5.67,295.94,4.893,5.73,12.2,10419,0,340,,,13.40
"157741 (2006 BE202)",5.22,0.0935,9.47,340.81,283.93,4.732,5.71,11.9,8031,0,355,,,12.87
"158231 (2001 SJ256)",5.206,0.0226,7.92,32.62,5.37,5.088,5.32,11.9,8113,0,338,,,13.34
"158333 (2001 WW25)",5.222,0.1147,3.89,88.42,282.13,4.623,5.82,11.9,7944,0,272,,,13.64
"158336 (2001 WM69)",5.252,0.0490,3.78,217.94,124.62,4.995,5.51,12,7685,0,401,,,13.55
"158601 (2002 VR121)",5.214,0.0681,11.09,265.86,288.53,4.859,5.57,11.9,7278,0,587,,,12.84
"159162 (2005 AY64)",5.229,0.0713,4.71,140.70,23.10,4.856,5.60,12,7649,0,479,,,13.20
"159163 (2005 ES129)",5.247,0.0600,1.38,237.76,143.65,4.932,5.56,12,8691,0,318,,,13.63
"159340 (2006 EF14)",5.307,0.0393,10.74,179.38,125.04,5.098,5.52,12.2,9870,0,510,,,13.40
"159342 (2006 JR)",5.255,0.0877,29.18,264.49,15.27,4.795,5.72,12,8366,0,841,,,11.66
"159378 (1997 TS20)",5.118,0.0820,5.63,206.59,228.16,4.698,5.54,11.6,9243,0,570,,,13.31
"159633 (2002 CY21)",5.116,0.0407,9.47,137.66,243.38,4.907,5.32,11.6,7671,0,857,,,12.64
"159658 (2002 EV56)",5.179,0.0416,4.57,164.80,233.31,4.964,5.39,11.8,8101,0,844,,,12.70
"160135 (2000 YB131)",5.162,0.0479,17.33,301.92,359.50,4.914,5.41,11.7,8442,0,1201,,,12.04
"160140 (2001 DZ3)",5.218,0.0580,24.52,339.30,30.33,4.916,5.52,11.9,8414,0,793,,,12.24
"160164 (2001 TW252)",5.188,0.0379,9.83,45.86,73.28,4.992,5.38,11.8,10303,0,385,,,13.21
"160465 (2006 BL226)",5.284,0.0502,2.71,134.12,76.74,5.019,5.55,12.1,8027,0,337,,,13.59
"160527 (1996 RE31)",5.236,0.0970,6.71,320.76,104.09,4.729,5.74,12,9679,0,882,,,12.54
"160528 (1996 RD32)",5.172,0.0937,4.06,60.48,301.86,4.688,5.66,11.8,9702,0,912,,,12.64
"160533 (1996 TT56)",5.24,0.0371,7.77,292.11,71.20,5.045,5.43,12,9626,0,709,,,12.47
"160534 (1996 TA58)",5.212,0.1131,10.63,327.02,12.48,4.622,5.80,11.9,9610,0,761,,,12.53
"160661 (1999 XD225)",5.284,0.0884,6.28,301.65,119.37,4.817,5.75,12.1,9610,0,421,,,13.26
"160679 (2000 DB6)",5.226,0.0768,12.93,0.41,35.55,4.824,5.63,11.9,9690,0,927,,,12.33
"160856 (2001 DU92)",5.239,0.0917,7.63,28.39,3.31,4.759,5.72,12,9609,0,725,,,12.70
"161003 (2002 DA2)",5.24,0.0354,32.21,109.52,6.25,5.054,5.43,12,8043,0,425,,,12.41
"161017 (2002 EP106)",5.312,0.0362,10.11,126.73,295.11,5.120,5.50,12.2,8407,0,640,,,12.70
"161018 (2002 EU107)",5.121,0.0556,12.02,121.38,303.78,4.836,5.41,11.6,8005,0,832,,,12.55
"161020 (2002 EK158)",5.166,0.0597,1.67,143.23,263.11,4.857,5.47,11.7,8836,0,603,,,13.44
"161024 (2002 FM7)",5.205,0.0227,21.14,8.14,0.27,5.087,5.32,11.9,9251,0,620,,,12.47
"161027 (2002 FM38)",5.219,0.0843,7.32,41.44,337.43,4.780,5.66,11.9,9615,0,623,,,12.93
"161044 (2002 GG181)",5.217,0.0584,11.65,262.94,147.78,4.912,5.52,11.9,10072,0,722,,,12.46
"161484 (2004 HU42)",5.21,0.0227,17.39,33.30,311.51,5.092,5.33,11.9,9309,0,566,,,12.57
"161489 (2004 KN6)",5.164,0.0119,8.15,115.50,31.14,5.103,5.23,11.7,9295,0,573,,,12.97
"161646 (2006 BL56)",5.287,0.0512,0.56,20.65,222.50,5.016,5.56,12.2,10304,0,301,,,13.77
"161664 (2006 DM16)",5.288,0.0436,13.41,134.27,188.35,5.057,5.52,12.2,8342,0,445,,,12.71
"161701 (2006 JW41)",5.272,0.0576,14.91,179.71,197.49,4.968,5.58,12.1,9568,0,580,,,12.86
"161717 (2006 PL23)",5.283,0.0342,16.85,318.11,154.88,5.102,5.46,12.1,16821,0,585,,,12.44
"161916 (2007 EO34)",5.279,0.0644,5.33,112.91,199.78,4.939,5.62,12.1,9957,0,570,,,12.88
"162046 (1996 RQ31)",5.197,0.0660,2.90,141.03,307.89,4.854,5.54,11.8,9704,0,487,,,13.22
"162047 (1996 RJ32)",5.179,0.0307,6.31,25.15,358.55,5.020,5.34,11.8,9619,0,713,,,12.68
"162048 (1996 RO32)",5.252,0.0882,4.04,164.33,222.79,4.789,5.72,12,9616,0,646,,,13.12
"162352 (1999 XS226)",5.229,0.0767,2.28,64.29,35.62,4.828,5.63,12,9289,0,641,,,12.87
"162380 (2000 AW225)",5.264,0.0333,2.55,306.12,33.84,5.089,5.44,12.1,8420,0,714,,,12.85
"162388 (2000 BK39)",5.248,0.1267,4.22,132.73,241.09,4.583,5.91,12,9277,0,857,,,12.54
"162396 (2000 CV120)",5.249,0.0492,3.12,110.05,305.78,4.991,5.51,12,9183,0,521,,,12.96
"162805 (2001 AR)",5.2,0.1122,25.21,130.74,320.90,4.616,5.78,11.9,8445,0,787,,,12.23
"162811 (2001 AG51)",5.142,0.0545,3.44,297.14,131.47,4.862,5.42,11.7,8052,0,562,,,13.02
"162822 (2001 BD49)",5.196,0.0711,24.39,161.30,285.03,4.826,5.57,11.8,10077,0,617,,,12.66
"162851 (2001 DF39)",5.237,0.0419,9.72,298.60,160.98,5.017,5.46,12,9598,0,599,,,12.46
"162861 (2001 DY103)",5.206,0.1523,28.66,136.21,240.33,4.413,6.00,11.9,8066,0,1072,,,12.07
"163102 (2002 AQ125)",5.144,0.0520,6.27,143.77,327.32,4.877,5.41,11.7,7670,0,680,,,12.90
"163135 (2002 CT22)",5.134,0.0360,6.71,337.87,147.70,4.949,5.32,11.6,9614,0,710,,,12.76
"163155 (2002 CL130)",5.152,0.0265,4.39,171.97,277.20,5.015,5.29,11.7,7682,0,913,,,12.69
"163189 (2002 EU6)",5.19,0.0961,7.06,2.85,51.07,4.691,5.69,11.8,9646,0,516,,,13.04
"163196 (2002 EN24)",5.29,0.0241,9.14,169.12,190.13,5.163,5.42,12.2,22756,0,695,,,12.76
"163208 (2002 EN48)",5.262,0.0355,2.30,206.48,329.77,5.076,5.45,12.1,9166,0,475,,,13.32
"163216 (2002 EN68)",5.226,0.0380,6.73,352.92,21.33,5.027,5.42,11.9,10017,0,707,,,12.76
"163238 (2002 EQ151)",5.324,0.0660,9.09,183.31,235.34,4.972,5.68,12.3,22753,0,897,,,12.43
"163240 (2002 EM157)",5.325,0.1315,8.80,320.45,337.93,4.624,6.03,12.3,7654,0,719,,,12.51
"163245 (2002 FW23)",5.355,0.0633,1.93,165.09,232.69,5.016,5.69,12.4,9976,0,923,,,12.54
"163256 (2002 GU35)",5.228,0.0502,11.52,4.67,4.05,4.965,5.49,12,10146,0,793,,,12.48
"163263 (2002 GA71)",5.202,0.0574,25.99,118.17,256.23,4.904,5.50,11.9,8439,0,648,,,12.34
"163702 (2003 FR72)",5.28,0.0240,19.83,56.73,87.51,5.153,5.41,12.1,9209,0,741,,,12.30
