"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2014 UG6)",12.4,0.8892,7.07,238.89,207.73,1.374,23.43,43.7,2,9,12,,,19.18
"       (2014 UK70)",22.47,0.7199,169.25,38.60,60.09,6.294,38.64,106,4,9,11,,,11.98
"       (2014 UF77)",5.636,0.7444,11.57,27.92,277.65,1.441,9.83,13.4,4,9,15,,,18.13
"       (2014 UV114)",13.86,0.7099,170.97,52.68,6.87,4.022,23.70,51.6,41,8,23,,,15.80
"       (2014 UJ225)",23.34,0.3815,21.30,18.84,81.93,14.438,32.25,113,1867,3,58,,,10.60
"       (2014 UG229)",28.17,0.4423,12.22,17.01,304.45,15.708,40.63,149,709,4,16,,,11.70
"       (2014 UC241)",9.585,0.7564,7.36,245.80,175.57,2.335,16.83,29.7,1,9,10,,,18.65
"       (2014 UW277)",26.58,0.4250,35.70,158.07,105.08,15.284,37.88,137,1450,5,7,,,8.89
"       (2014 VR39)",27.56,0.2625,32.72,181.70,242.29,20.328,34.80,145,4471,3,24,,,10.51
"       (2014 WW119)",5.821,0.6251,31.81,211.95,206.37,2.182,9.46,14,14,8,19,,,16.50
"       (2014 WQ365)",9.253,0.5977,22.65,45.16,19.06,3.723,14.78,28.1,1574,3,41,,,14.90
"       (2014 WW508)",28.29,0.5321,9.52,172.97,262.57,13.235,43.34,150,3365,2,77,,,10.60
"       (2014 WV535)",21.18,0.4133,30.33,203.09,334.10,12.428,29.94,97.5,1207,2,86,,,10.00
"       (2014 WX574)",8.548,0.5888,4.10,136.98,8.16,3.515,13.58,25,464,3,35,,,15.70
"       (2014 YO46)",6.979,0.7831,9.45,127.08,288.51,1.514,12.44,18.4,2,9,11,,,18.83
"       (2014 YX49)",19.11,0.2799,25.52,91.35,280.48,13.763,24.46,83.6,7442,1,244,,,8.80
"       (2015 AD25)",5.743,0.6547,13.21,172.07,301.93,1.983,9.50,13.8,3,9,10,,,19.08
"       (2015 AO44)",21.81,0.8337,139.95,151.72,48.43,3.628,40.00,102,757,2,158,,,13.60
"       (2015 AM107)",12.79,0.8745,7.08,125.64,89.84,1.605,23.97,45.7,2,9,10,,,17.45
"       (2015 AR284)",5.98,0.6032,10.69,23.03,41.36,2.373,9.59,14.6,596,4,33,,,15.80
"       (2015 BX306)",5.51,0.5126,11.32,2.14,140.69,2.686,8.33,12.9,55,4,22,,,17.00
"       (2015 BH311)",7.731,0.6712,94.50,287.48,252.81,2.542,12.92,21.5,6,9,14,,,15.60
"       (2015 BE384)",9.352,0.8080,0.34,178.63,240.77,1.796,16.91,28.6,2,9,10,,,18.73
"       (2015 BB480)",7.693,0.7476,18.05,300.57,117.96,1.942,13.45,21.3,2,9,10,,,17.97
"       (2015 BX514)",12.11,0.6237,4.75,225.67,250.52,4.558,19.67,42.2,857,3,52,,,14.70
"       (2015 BH518)",27.69,0.0858,10.95,256.12,259.50,25.314,30.06,146,5086,2,104,,,8.10
"       (2015 BK518)",14.12,0.5496,6.99,242.77,238.34,6.361,21.88,53.1,1129,2,110,,,14.20
"       (2015 BW524)",6.859,0.3056,9.17,268.87,306.45,4.763,8.96,18,839,3,87,,,14.43
"       (2015 BH526)",16.73,0.8774,8.35,262.15,163.67,2.051,31.40,68.4,1,9,16,,,19.87
"       (2015 BX603)",23.47,0.1689,5.61,46.46,234.57,19.504,27.43,114,1471,3,64,,,8.93
"       (2015 DB198)",8.194,0.4207,21.75,117.32,94.62,4.747,11.64,23.5,1620,2,111,,,13.30
"       (2015 DT248)",21.42,0.3564,22.17,194.67,241.23,13.782,29.05,99.1,10,8,20,,,11.67
"       (2015 DQ249)",25.04,0.2720,41.91,175.05,338.56,18.229,31.85,125,7,9,23,,,11.10
"       (2015 FK345)",9.414,0.3117,5.16,194.37,331.25,6.479,12.35,28.9,1607,2,89,,,14.00
"       (2015 GB46)",6.805,0.7755,5.31,82.92,152.76,1.528,12.08,17.8,7,9,11,,,19.23
"       (2015 GY53)",12.04,0.0829,24.12,201.42,266.77,11.041,13.04,41.8,422,4,21,,,13.60
"       (2015 GA54)",22.16,0.2603,11.43,191.18,255.20,16.390,27.93,104,503,5,34,,,10.60
"       (2015 GB54)",21.04,0.4216,1.63,106.65,148.07,12.168,29.91,96.5,477,5,22,,,12.80
"       (2015 GK59)",11.55,0.3719,7.42,24.18,307.76,7.254,15.85,39.3,10,9,16,,,13.20
"       (2015 HX10)",16.14,0.3386,31.60,221.05,359.61,10.677,21.61,64.9,1521,4,30,,,12.10
"       (2015 HO176)",5.627,0.5777,8.88,69.49,167.70,2.376,8.88,13.3,172,3,93,,,16.70
"       (2015 JH1)",12.31,0.7070,35.33,205.11,70.47,3.606,21.01,43.2,1295,2,180,,,13.40
"       (2015 KC87)",5.812,0.6648,14.05,202.93,106.88,1.948,9.68,14,1,9,10,,,18.04
"       (2015 KJ87)",11.98,0.8859,8.20,162.52,341.65,1.367,22.58,41.4,1,9,10,,,18.29
"       (2015 KJ153)",6.372,0.5761,17.90,120.86,150.74,2.701,10.04,16.1,547,3,74,,,15.80
"       (2015 KG157)",5.861,0.4539,73.57,78.11,116.51,3.200,8.52,14.2,2,9,12,,,15.70
"       (2015 KH172)",17.19,0.6834,9.08,106.96,200.37,5.442,28.93,71.3,411,5,16,,,14.90
"       (2015 KJ172)",10.94,0.4716,11.40,80.55,52.80,5.779,16.09,36.2,497,5,19,,,14.90
"       (2015 MY90)",5.73,0.5231,10.59,232.56,83.49,2.733,8.73,13.7,971,3,62,,,15.60
"       (2015 PG119)",5.719,0.3858,16.21,332.43,21.69,3.512,7.92,13.7,1285,3,57,,,15.70
"       (2015 PJ311)",20.84,0.6684,18.51,97.35,231.75,6.908,34.76,95.1,1153,2,45,,,13.60
"       (2015 RV245)",22.12,0.4772,15.34,359.87,261.65,11.561,32.67,104,1917,3,34,,,10.10
"       (2015 RD277)",26.25,0.2945,18.80,5.55,355.10,18.517,33.98,134,857,4,33,,,10.60
"       (2015 RE277)",20.29,0.7657,1.62,357.80,64.33,4.755,35.83,91.4,499,4,19,,,16.50
"       (2015 RF277)",21.91,0.5227,0.93,250.28,98.53,10.458,33.36,103,559,4,25,,,14.60
"       (2015 RH277)",21.12,0.5130,10.11,349.26,89.44,10.286,31.96,97.1,2029,3,23,,,13.39
"       (2015 RK277)",26.79,0.8024,9.56,195.20,219.26,5.293,48.29,139,559,3,50,,,15.40
"       (2015 RA333)",6.766,0.5594,13.98,21.18,26.81,2.981,10.55,17.6,531,4,26,,,16.30
"       (2015 TP10)",14.21,0.9019,37.95,344.64,286.74,1.394,27.03,53.6,1,9,10,,,17.77
"       (2015 UH67)",7.83,0.1497,27.40,40.36,339.79,6.658,9.00,21.9,769,4,21,,,13.30
"       (2015 VV1)",23.61,0.6532,17.11,130.05,246.13,8.187,39.03,115,2639,2,175,,,11.80
"       (2015 VH105)",5.628,0.7402,29.44,139.28,234.33,1.462,9.79,13.4,12,9,13,,,17.60
"       (2015 VT152)",20.14,0.2355,39.64,137.41,20.28,15.394,24.88,90.4,743,5,19,,,9.40
"       (2015 VE164)",28.73,0.4606,36.50,227.01,159.89,15.497,41.96,154,501,4,22,,,11.90
"       (2015 VF164)",28.44,0.5455,5.73,221.96,210.16,12.926,43.95,152,1625,3,24,,,12.90
"       (2015 XX351)",14.45,0.8519,159.19,332.63,252.84,2.140,26.76,54.9,330,3,64,,,15.90
"       (2015 XQ384)",12.71,0.6496,21.49,241.79,147.93,4.454,20.97,45.3,31,7,34,,,15.90
"       (2015 YY18)",19.31,0.8298,118.28,257.94,147.65,3.287,35.33,84.8,389,2,86,,,14.90
"       (2016 AC282)",6.115,0.4277,26.06,132.21,39.42,3.500,8.73,15.1,488,4,42,,,16.02
"       (2016 AH350)",5.584,0.3161,15.46,188.31,355.22,3.819,7.35,13.2,888,3,23,,,15.30
"       (2016 BJ81)",9.629,0.4808,13.34,102.68,62.18,5.000,14.26,29.9,1647,2,171,,,13.50
"       (2016 CJ155)",13.29,0.7649,7.81,126.11,347.10,3.124,23.45,48.4,30,7,14,,,16.24
"       (2016 DF2)",7.196,0.5380,167.05,133.40,1.58,3.324,11.07,19.3,2,9,15,,,16.90
"       (2016 EG335)",8.058,0.5047,14.54,328.09,262.15,3.991,12.12,22.9,48,5,34,,,15.24
"       (2016 FD14)",21.45,0.5095,20.00,216.37,325.04,10.522,32.38,99.4,1930,2,92,,,12.10
"       (2016 FW107)",6.164,0.4038,8.18,274.72,192.28,3.675,8.65,15.3,850,3,39,,,15.67
"       (2016 GU34)",6.339,0.7734,1.99,223.59,46.03,1.436,11.24,16,1,9,10,,,19.39
"       (2016 GE53)",10.77,0.8749,0.58,359.89,82.61,1.347,20.19,35.3,1,9,11,,,16.77
"       (2016 GZ120)",10.72,0.8314,10.48,183.28,293.44,1.808,19.63,35.1,1,9,11,,,17.55
"       (2016 GR206)",20.12,0.0760,14.25,93.34,69.84,18.587,21.65,90.2,4861,2,134,,,9.25
"       (2016 GC241)",21.56,0.3592,4.18,330.03,182.61,13.816,29.30,100,2669,2,99,,,11.10
"       (2016 GZ251)",17.8,0.4298,29.40,37.38,84.92,10.148,25.45,75.1,2257,2,59,,,11.10
"       (2016 JK24)",12.97,0.6578,152.30,36.71,284.44,4.438,21.50,46.7,2666,1,169,,,13.45
"       (2016 KX4)",7.053,0.6762,37.48,83.95,252.94,2.284,11.82,18.7,1007,3,89,,,14.80
