"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2001 QL169)",3.145,0.5008,13.21,107.76,216.96,1.570,4.72,5.58,8013,1,91,,,18.16
"       (2001 QB177)",2.22,0.2582,10.56,163.88,158.37,1.646,2.79,3.31,7399,1,60,,,18.98
"       (2001 QA225)",2.601,0.3792,7.92,166.90,168.91,1.615,3.59,4.2,7773,0,185,,,18.58
"       (2001 QB322)",2.333,0.2914,6.50,141.22,315.26,1.653,3.01,3.56,6674,0,83,,,18.40
"       (2001 RD2)",2.587,0.4389,26.77,328.67,79.08,1.452,3.72,4.16,7846,0,123,,,17.64
"       (2001 RR3)",2.445,0.3990,41.23,347.27,355.54,1.469,3.42,3.82,7062,0,99,,,17.90
"       (2001 RJ10)",2.281,0.4064,5.58,241.11,70.98,1.354,3.21,3.44,41,6,21,,,19.23
"       (2001 RF13)",2.215,0.2493,2.42,265.39,88.74,1.662,2.77,3.3,7386,0,69,,,19.38
"       (2001 RS15)",2.355,0.3423,5.27,298.35,35.30,1.549,3.16,3.61,8041,0,73,,,18.35
"       (2001 RE16)",2.684,0.3822,9.32,351.96,15.28,1.658,3.71,4.4,38,6,22,,,18.82
"       (2001 RX20)",2.268,0.2663,12.60,163.08,164.90,1.664,2.87,3.42,7230,0,61,,,18.70
"       (2001 RR40)",2.588,0.3743,7.19,34.08,330.05,1.619,3.56,4.16,7827,0,301,,,17.57
"       (2001 RN43)",2.945,0.5020,13.35,10.63,354.79,1.467,4.42,5.05,66,6,41,,,18.40
"       (2001 RQ46)",2.225,0.2534,25.15,154.94,171.74,1.661,2.79,3.32,7416,0,70,,,18.12
"       (2001 RF47)",1.874,0.1279,20.04,354.93,70.40,1.635,2.11,2.57,7896,0,223,,,18.20
"       (2001 RN47)",1.877,0.1563,20.47,4.69,6.73,1.583,2.17,2.57,10234,0,262,,,18.13
"       (2001 RL95)",2.588,0.4039,9.02,168.51,186.19,1.543,3.63,4.16,7845,0,200,,,18.15
"       (2001 RM114)",2.283,0.2801,5.55,4.86,336.46,1.643,2.92,3.45,7745,1,60,,,18.98
"       (2001 RM138)",2.248,0.2826,1.17,39.78,279.65,1.613,2.88,3.37,6263,0,54,,,19.42
"       (2001 SE5)",2.981,0.4666,8.85,191.05,174.00,1.590,4.37,5.15,68,6,40,,,18.40
"       (2001 SV8)",2.233,0.3441,8.63,1.91,355.74,1.465,3.00,3.34,7362,0,123,,,20.43
"       (2001 SV26)",2.243,0.2846,4.78,178.14,185.82,1.605,2.88,3.36,7314,0,125,,,18.84
"       (2001 SE73)",2.172,0.3209,20.85,357.35,70.13,1.475,2.87,3.2,5950,0,102,,,18.50
"       (2001 SX76)",2.198,0.2886,8.66,185.78,186.90,1.563,2.83,3.26,4840,1,69,,,19.10
"       (2001 SR82)",2.217,0.2601,3.83,199.25,145.76,1.640,2.79,3.3,7376,1,58,,,19.40
"       (2001 SH83)",2.153,0.2433,4.63,198.61,146.65,1.629,2.68,3.16,7938,0,91,,,19.42
"       (2001 SM104)",2.165,0.2964,6.53,5.21,342.75,1.523,2.81,3.19,6903,0,55,,,19.68
"       (2001 SO115)",2.194,0.3509,5.26,299.61,102.50,1.424,2.96,3.25,7450,0,166,,,18.86
"       (2001 SP115)",2.332,0.4351,7.73,179.52,211.49,1.317,3.35,3.56,34,7,36,,,20.58
"       (2001 SN129)",2.603,0.3639,4.95,196.17,127.34,1.655,3.55,4.2,7715,0,113,,,18.75
"       (2001 SU169)",1.961,0.2232,24.03,31.67,319.78,1.523,2.40,2.75,5719,0,70,,,18.10
"       (2001 SU193)",2.2,0.3091,8.98,357.43,317.51,1.520,2.88,3.26,4747,0,49,,,20.00
"       (2001 SQ215)",2.263,0.2682,6.25,352.24,316.04,1.656,2.87,3.4,6205,0,46,,,19.00
"       (2001 SO262)",2.591,0.3722,27.32,338.75,77.28,1.627,3.56,4.17,7821,0,75,,,17.77
"       (2001 SH272)",2.359,0.3226,4.55,19.45,339.63,1.598,3.12,3.62,6619,0,70,,,19.25
"       (2001 SJ275)",2.473,0.3711,15.55,178.30,131.76,1.555,3.39,3.89,6854,0,58,,,18.50
"       (2001 SB304)",2.33,0.2951,8.41,353.75,49.23,1.642,3.02,3.56,6647,0,51,,,18.70
"       (2001 SS304)",2.275,0.2755,4.08,347.62,356.58,1.648,2.90,3.43,6165,0,50,,,19.34
"       (2001 SZ307)",2.184,0.2874,5.14,14.12,346.77,1.557,2.81,3.23,5799,1,47,,,19.70
"       (2001 SQ337)",2.117,0.2363,10.20,171.54,188.61,1.616,2.62,3.08,2,9,10,,,19.51
"       (2001 SF340)",2.257,0.2652,8.47,317.97,352.13,1.659,2.86,3.39,7763,0,59,,,18.65
"       (2001 SV356)",2.591,0.3737,5.07,260.12,88.43,1.623,3.56,4.17,7814,0,89,,,18.10
"       (2001 SS358)",2.213,0.2694,8.55,85.57,215.12,1.616,2.81,3.29,7377,0,66,,,18.52
"       (2001 SZ359)",2.201,0.2895,6.15,25.53,284.87,1.564,2.84,3.27,5760,0,31,,,19.10
"       (2001 TO)",2.264,0.3547,4.17,204.59,208.17,1.461,3.07,3.41,6249,0,121,,,19.10
"       (2001 TE3)",2.13,0.2707,3.13,32.30,315.76,1.553,2.71,3.11,6403,1,73,,,19.69
"       (2001 TM7)",2.609,0.4561,32.73,202.99,217.79,1.419,3.80,4.21,7728,0,80,,,19.18
"       (2001 TK13)",1.875,0.1280,19.59,204.91,245.48,1.635,2.12,2.57,7877,0,277,,,18.26
"       (2001 TO13)",2.565,0.3627,34.49,215.03,141.76,1.635,3.50,4.11,7185,0,77,,,18.25
"       (2001 TF17)",2.551,0.4142,15.70,19.28,20.12,1.495,3.61,4.08,1522,1,57,,,18.90
"       (2001 TH54)",2.589,0.3651,17.70,196.72,208.98,1.644,3.53,4.17,7817,0,182,,,17.74
"       (2001 TS61)",2.337,0.3044,10.03,42.23,346.54,1.625,3.05,3.57,7122,0,120,,,18.21
"       (2001 TE99)",2.221,0.2541,6.73,222.72,125.23,1.656,2.78,3.31,7368,1,79,,,18.86
"       (2001 TR103)",2.307,0.3689,12.56,53.53,292.79,1.456,3.16,3.5,7724,0,187,,,18.70
"       (2001 TC131)",2.612,0.3803,7.06,159.60,235.36,1.618,3.60,4.22,7712,0,144,,,18.63
"       (2001 TV181)",2.611,0.3707,4.82,341.55,38.66,1.643,3.58,4.22,7740,0,119,,,18.70
"       (2001 TO193)",2.205,0.2459,4.61,175.53,194.01,1.663,2.75,3.28,7412,0,64,,,19.17
"       (2001 TB210)",2.321,0.4283,8.42,283.52,4.74,1.327,3.31,3.54,7625,0,163,,,17.92
"       (2001 TK224)",2.2,0.2672,5.18,14.09,321.69,1.612,2.79,3.26,4761,2,21,,,19.80
"       (2001 TZ239)",2.335,0.3041,4.33,75.07,299.99,1.625,3.04,3.57,6642,0,31,,,18.80
