"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2020 PC25)",3.427,0.0346,18.40,282.92,81.06,3.309,3.55,6.34,7376,0,27,,,16.78
"       (2020 PS28)",3.977,0.1781,5.67,43.71,228.95,3.268,4.68,7.93,5020,0,21,,,16.30
"       (2020 PA31)",3.212,0.1947,24.50,301.69,75.42,2.587,3.84,5.76,2199,1,42,,,17.32
"       (2020 PG31)",3.974,0.2314,5.96,307.40,353.30,3.054,4.89,7.92,891,3,34,,,16.98
"       (2020 PB32)",3.23,0.2017,24.50,300.70,76.92,2.578,3.88,5.8,118,4,25,,,16.90
"       (2020 PU34)",3.217,0.2206,16.23,306.43,50.52,2.507,3.93,5.77,54,4,25,,,17.50
"       (2020 PK38)",3.207,0.1948,17.18,165.49,204.00,2.582,3.83,5.74,66,4,32,,,17.70
"       (2020 PM39)",3.226,0.1483,18.83,47.53,282.21,2.748,3.70,5.79,7036,0,35,,,16.97
"       (2020 PC41)",3.98,0.1669,9.98,293.31,27.82,3.316,4.64,7.94,468,3,30,,,16.30
"       (2020 PS41)",3.603,0.0810,2.63,309.10,31.67,3.311,3.89,6.84,5142,1,41,,,16.80
"       (2020 PZ49)",3.228,0.1023,14.76,153.36,130.46,2.897,3.56,5.8,2640,0,25,,,17.61
"       (2020 PQ53)",3.993,0.2004,2.75,307.29,335.34,3.193,4.79,7.98,6304,1,30,,,16.40
"       (2020 PB54)",3.966,0.2057,8.07,147.51,132.58,3.151,4.78,7.9,468,4,22,,,16.00
"       (2020 PU54)",3.248,0.0406,22.80,143.28,244.03,3.116,3.38,5.85,1713,3,19,,,17.41
"       (2020 PJ55)",3.948,0.2669,2.35,313.01,3.39,2.895,5.00,7.85,5849,0,45,,,16.98
"       (2020 PQ57)",3.237,0.2882,20.50,317.58,74.10,2.304,4.17,5.83,2736,1,23,,,18.05
"       (2020 PB59)",3.202,0.1270,16.19,210.33,139.31,2.795,3.61,5.73,2214,3,18,,,17.50
"       (2020 PC60)",3.217,0.1365,3.18,295.60,25.76,2.778,3.66,5.77,1740,5,19,,,18.10
"       (2020 PP61)",3.469,0.0220,25.41,333.47,128.69,3.393,3.55,6.46,2181,4,13,,,16.50
"       (2020 PN62)",3.462,0.0304,10.90,135.63,162.86,3.357,3.57,6.44,5170,0,53,,,16.38
"       (2020 PU63)",3.999,0.1622,3.02,26.00,289.76,3.351,4.65,8,5861,1,27,,,16.60
"       (2020 PP65)",3.21,0.1073,17.26,148.88,234.84,2.866,3.55,5.75,462,4,17,,,17.50
"       (2020 PG66)",3.22,0.0510,9.78,346.24,24.26,3.056,3.38,5.78,31,5,18,,,17.20
"       (2020 PP67)",3.94,0.1199,3.98,126.27,112.18,3.467,4.41,7.82,33,7,14,,,16.50
"       (2020 PH70)",3.441,0.0474,10.24,159.69,152.75,3.278,3.60,6.38,6034,0,45,,,16.61
"       (2020 PX74)",3.224,0.0547,10.08,148.82,192.41,3.048,3.40,5.79,5314,0,44,,,17.10
"       (2020 PT75)",3.952,0.0833,10.29,322.27,5.00,3.623,4.28,7.86,3373,2,29,,,16.54
"       (2020 PW75)",4.001,0.2190,2.59,132.22,200.18,3.125,4.88,8,5874,1,23,,,16.70
"       (2020 PY75)",3.24,0.0457,18.73,31.46,11.64,3.092,3.39,5.83,4847,0,37,,,17.38
"       (2020 PZ75)",3.238,0.0628,10.90,333.05,94.38,3.035,3.44,5.83,4429,0,59,,,16.86
"       (2020 PO76)",3.911,0.1354,9.42,114.62,344.52,3.381,4.44,7.74,2496,1,36,,,16.68
"       (2020 PZ76)",3.368,0.0991,13.31,60.24,343.10,3.034,3.70,6.18,472,4,24,,,17.10
"       (2020 PC77)",3.227,0.0431,9.56,316.74,140.71,3.088,3.37,5.8,7092,0,64,,,16.77
"       (2020 PP77)",3.208,0.0312,12.63,286.51,340.57,3.108,3.31,5.75,5311,0,33,,,16.79
"       (2020 PO79)",3.961,0.2718,12.97,289.10,160.29,2.885,5.04,7.88,5922,0,58,,,16.55
"       (2020 PT79)",3.21,0.0148,9.95,191.38,292.17,3.162,3.26,5.75,5293,0,53,,,16.91
"       (2020 PH80)",3.415,0.1070,11.38,340.93,51.39,3.049,3.78,6.31,5221,0,37,,,17.21
"       (2020 PN80)",3.446,0.0703,6.36,83.68,312.07,3.204,3.69,6.4,472,4,19,,,17.00
